,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Ingolstadt,1,2,Erzgebirge Aue,1.95,3.5,3.8,01-07-19 17:51,Live
1,1,Ingolstadt,1,2,Erzgebirge Aue,1.9,3.5,3.9,01-07-19 17:29,Live
2,1,Ingolstadt,1,2,Erzgebirge Aue,1.85,3.5,4.2,01-07-19 17:14,Live
3,1,Ingolstadt,1,2,Erzgebirge Aue,1.95,3.4,3.8,01-07-19 13:13,Live
4,1,Ingolstadt,1,2,Erzgebirge Aue,1.9,3.4,4.1,01-07-19 6:32,Live
5,1,Ingolstadt,1,2,Erzgebirge Aue,2,3.4,3.75,01-07-15 5:25,Live
6,1,Ingolstadt,1,2,Erzgebirge Aue,1.9,3.4,4,07-12-19 18:30,Live
7,1,SV Sandhausen,0,0,Vfr Aalen,2.87,3.3,2.4,01-07-19 18:21,Live
8,1,SV Sandhausen,0,0,Vfr Aalen,2.75,3.3,2.5,01-07-19 16:27,Live
9,1,SV Sandhausen,0,0,Vfr Aalen,2.87,3.3,2.4,01-07-19 12:03,Live
10,1,SV Sandhausen,0,0,Vfr Aalen,2.8,3.3,2.45,01-07-19 10:27,Live
11,1,SV Sandhausen,0,0,Vfr Aalen,2.7,3.3,2.55,01-07-19 10:17,Live
12,1,SV Sandhausen,0,0,Vfr Aalen,2.5,3.3,2.8,07-12-19 18:30,Live
13,1,St. Pauli,1,0,TSV 1860 Munchen,2.25,3.4,3,01-07-19 19:46,Live
14,1,St. Pauli,1,0,TSV 1860 Munchen,2.4,3.3,2.9,01-07-16 22:34,Live
15,1,St. Pauli,1,0,TSV 1860 Munchen,2.3,3.3,3.1,01-07-15 3:46,Live
16,1,St. Pauli,1,0,TSV 1860 Munchen,2.3,3.2,3.1,07-12-19 20:32,Live
17,1,SC Paderborn 07,0,1,Kaiserslautern,3.5,3.4,2.05,01-07-20 12:58,Live
18,1,SC Paderborn 07,0,1,Kaiserslautern,3.75,3.4,2,01-07-20 10:53,Live
19,1,SC Paderborn 07,0,1,Kaiserslautern,3.4,3.4,2.1,01-07-20 10:51,Live
20,1,SC Paderborn 07,0,1,Kaiserslautern,3.6,3.4,2.05,01-07-20 9:55,Live
21,1,SC Paderborn 07,0,1,Kaiserslautern,3.4,3.4,2.1,01-07-19 22:57,Live
22,1,SC Paderborn 07,0,1,Kaiserslautern,3.25,3.4,2.15,01-07-19 11:55,Live
23,1,SC Paderborn 07,0,1,Kaiserslautern,3.2,3.4,2.2,01-07-17 11:00,Live
24,1,SC Paderborn 07,0,1,Kaiserslautern,3.1,3.3,2.3,01-07-15 5:28,Live
25,1,SC Paderborn 07,0,1,Kaiserslautern,3,3.2,2.37,01-07-13 13:02,Live
26,1,Dynamo Dresden,1,1,FC Koln,2.62,3.3,2.62,01-07-20 15:01,Live
27,1,Dynamo Dresden,1,1,FC Koln,2.75,3.3,2.5,01-07-20 13:13,Live
28,1,Dynamo Dresden,1,1,FC Koln,2.62,3.3,2.62,01-07-20 12:24,Live
