,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Energie Cottbus,2,1,Dynamo Dresden,1.72,3.60,4.75,07-15 11:57,Live
1,1,Energie Cottbus,2,1,Dynamo Dresden,1.66,3.80,5.00,07-15 09:30,Live
2,1,Energie Cottbus,2,1,Dynamo Dresden,1.75,3.75,4.33,07-13 21:17,Live
3,1,Energie Cottbus,2,1,Dynamo Dresden,1.72,3.75,4.50,07-12 08:07,Live
4,1,Energie Cottbus,2,1,Dynamo Dresden,1.61,3.80,5.50,07-08 18:02,Live
5,1,FSV Frankfurt,1,1,Union Berlin,2.80,3.25,2.50,07-15 15:13,Live
6,1,FSV Frankfurt,1,1,Union Berlin,2.70,3.25,2.60,07-15 15:00,Live
7,1,FSV Frankfurt,1,1,Union Berlin,2.75,3.25,2.55,07-15 14:24,Live
8,1,FSV Frankfurt,1,1,Union Berlin,2.60,3.25,2.70,07-15 08:55,Live
9,1,FSV Frankfurt,1,1,Union Berlin,2.62,3.30,2.62,07-15 00:24,Live
10,1,FSV Frankfurt,1,1,Union Berlin,2.62,3.25,2.62,07-08 18:02,Live
11,1,Greuther Furth,2,3,Eintracht Frankfurt,2.25,3.40,3.00,07-15 20:17,Live
12,1,Greuther Furth,2,3,Eintracht Frankfurt,2.37,3.40,2.87,07-15 20:09,Live
13,1,Greuther Furth,2,3,Eintracht Frankfurt,2.30,3.40,3.00,07-15 18:19,Live
14,1,Greuther Furth,2,3,Eintracht Frankfurt,2.62,3.30,2.62,07-15 13:23,Live
15,1,Greuther Furth,2,3,Eintracht Frankfurt,2.80,3.30,2.50,07-15 12:50,Live
16,1,Greuther Furth,2,3,Eintracht Frankfurt,2.62,3.30,2.62,07-15 12:07,Live
17,1,Greuther Furth,2,3,Eintracht Frankfurt,2.75,3.30,2.50,07-15 00:24,Live
18,1,Greuther Furth,2,3,Eintracht Frankfurt,2.90,3.25,2.40,07-14 02:38,Live
19,1,Greuther Furth,2,3,Eintracht Frankfurt,2.87,3.25,2.45,07-08 20:30,Live
20,1,Erzgebirge Aue,1,0,Alemannia Aachen,2.20,3.40,3.20,07-16 11:45,Live
21,1,Erzgebirge Aue,1,0,Alemannia Aachen,2.10,3.40,3.40,07-16 11:14,Live
22,1,Erzgebirge Aue,1,0,Alemannia Aachen,2.20,3.40,3.20,07-16 10:48,Live
23,1,Erzgebirge Aue,1,0,Alemannia Aachen,2.30,3.25,3.10,07-15 08:59,Live
24,1,Erzgebirge Aue,1,0,Alemannia Aachen,2.25,3.25,3.25,07-09 13:00,Live
25,1,St. Pauli,2,0,Ingolstadt,2.05,3.40,3.50,07-16 12:59,Live
26,1,St. Pauli,2,0,Ingolstadt,1.90,3.40,4.00,07-16 11:55,Live
27,1,St. Pauli,2,0,Ingolstadt,1.83,3.50,4.33,07-16 11:40,Live
28,1,St. Pauli,2,0,Ingolstadt,1.90,3.40,4.00,07-16 02:44,Live
29,1,St. Pauli,2,0,Ingolstadt,1.83,3.50,4.33,07-14 21:09,Live
30,1,St. Pauli,2,0,Ingolstadt,1.80,3.50,4.50,07-09 13:00,Live
31,1,Karlsruher SC,3,2,MSV Duisburg,2.80,3.40,2.40,07-17 13:56,Live
32,1,Karlsruher SC,3,2,MSV Duisburg,2.75,3.30,2.50,07-12 22:00,Live
33,1,Karlsruher SC,3,2,MSV Duisburg,2.60,3.30,2.62,07-10 15:33,Live
34,1,Eintracht Braunschweig,3,1,TSV 1860 Munchen,2.25,3.25,3.20,07-17 13:56,Live
35,1,Eintracht Braunschweig,3,1,TSV 1860 Munchen,2.25,3.40,3.10,07-17 12:27,Live
36,1,Eintracht Braunschweig,3,1,TSV 1860 Munchen,2.60,3.25,2.70,07-15 21:18,Live
37,1,Eintracht Braunschweig,3,1,TSV 1860 Munchen,2.80,3.25,2.50,07-12 08:07,Live
38,1,Eintracht Braunschweig,3,1,TSV 1860 Munchen,3.00,3.25,2.37,07-10 15:33,Live
39,1,Hansa Rostock,1,2,SC Paderborn 07,1.83,3.40,4.33,07-17 12:42,Live
40,1,Hansa Rostock,1,2,SC Paderborn 07,2.00,3.30,3.75,07-15 08:59,Live
41,1,Hansa Rostock,1,2,SC Paderborn 07,2.10,3.30,3.50,07-10 15:33,Live
42,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.20,3.40,3.20,07-18 13:46,Live
43,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.30,3.40,3.00,07-18 12:09,Live
44,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.37,3.40,2.87,07-18 10:03,Live
45,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.30,3.40,3.00,07-18 03:10,Live
46,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.40,3.30,2.87,07-17 13:58,Live
47,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.50,3.20,2.87,07-15 10:15,Live
48,1,Fortuna Dusseldorf,2,0,VfL Bochum,2.60,3.10,2.80,07-11 20:17,Live
49,2,VfL Bochum,1,0,FSV Frankfurt,1.44,4.20,7.50,07-22 08:34,Live
50,2,VfL Bochum,1,0,FSV Frankfurt,1.50,4.00,7.00,07-21 22:08,Live
51,2,VfL Bochum,1,0,FSV Frankfurt,1.53,3.80,6.75,07-19 06:52,Live
52,2,VfL Bochum,1,0,FSV Frankfurt,1.53,3.80,6.50,07-19 02:02,Live
53,2,VfL Bochum,1,0,FSV Frankfurt,1.50,4.00,7.00,07-19 01:46,Live
54,2,VfL Bochum,1,0,FSV Frankfurt,1.44,4.20,7.50,07-18 15:28,Live
55,2,Ingolstadt,0,0,Erzgebirge Aue,1.90,3.60,3.80,07-22 16:21,Live
56,2,Ingolstadt,0,0,Erzgebirge Aue,1.90,3.50,4.00,07-22 08:32,Live
57,2,Ingolstadt,0,0,Erzgebirge Aue,2.00,3.30,3.80,07-19 01:49,Live
58,2,Ingolstadt,0,0,Erzgebirge Aue,2.10,3.30,3.50,07-18 21:44,Live
59,2,Ingolstadt,0,0,Erzgebirge Aue,2.20,3.25,3.25,07-18 15:28,Live
60,2,MSV Duisburg,1,2,Energie Cottbus,1.90,3.60,3.75,07-22 18:33,Live
61,2,MSV Duisburg,1,2,Energie Cottbus,2.00,3.50,3.60,07-21 22:14,Live
62,2,MSV Duisburg,1,2,Energie Cottbus,1.85,3.60,4.00,07-21 13:37,Live
63,2,MSV Duisburg,1,2,Energie Cottbus,1.83,3.50,4.33,07-21 12:18,Live
64,2,MSV Duisburg,1,2,Energie Cottbus,1.90,3.50,4.00,07-19 02:28,Live
65,2,MSV Duisburg,1,2,Energie Cottbus,1.90,3.60,3.80,07-19 00:45,Live
66,2,MSV Duisburg,1,2,Energie Cottbus,2.00,3.50,3.60,07-19 00:43,Live
67,2,MSV Duisburg,1,2,Energie Cottbus,2.10,3.40,3.40,07-18 15:28,Live
68,2,TSV 1860 Munchen,2,1,Karlsruher SC,1.75,3.75,4.50,07-20 06:03,Live
69,2,TSV 1860 Munchen,2,1,Karlsruher SC,1.72,3.50,5.00,07-19 02:50,Live
70,2,TSV 1860 Munchen,2,1,Karlsruher SC,1.75,3.50,4.75,07-18 15:28,Live
71,2,Union Berlin,0,4,Greuther Furth,2.80,3.40,2.40,07-23 15:26,Live
72,2,Union Berlin,0,4,Greuther Furth,2.70,3.40,2.50,07-23 12:57,Live
73,2,Union Berlin,0,4,Greuther Furth,2.60,3.40,2.60,07-22 16:06,Live
74,2,Union Berlin,0,4,Greuther Furth,2.50,3.30,2.80,07-19 01:47,Live
75,2,Union Berlin,0,4,Greuther Furth,2.50,3.25,2.80,07-18 15:28,Live
76,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,3.00,3.40,2.30,07-24 15:07,Live
77,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,2.87,3.30,2.40,07-24 14:47,Live
78,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,2.80,3.25,2.50,07-24 09:37,Live
79,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,2.70,3.25,2.60,07-23 22:06,Live
80,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,2.70,3.25,2.62,07-22 08:35,Live
81,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,2.60,3.30,2.62,07-19 01:48,Live
82,2,SC Paderborn 07,1,1,Fortuna Dusseldorf,2.50,3.25,2.80,07-18 15:28,Live
83,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.25,3.50,3.00,07-24 12:44,Live
84,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.10,3.50,3.25,07-24 12:05,Live
85,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.20,3.40,3.20,07-24 09:34,Live
86,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.10,3.40,3.40,07-21 14:04,Live
87,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.20,3.30,3.30,07-19 01:58,Live
88,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.10,3.40,3.40,07-18 21:46,Live
89,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.00,3.30,3.75,07-18 15:29,Live
90,2,Alemannia Aachen,0,2,Eintracht Braunschweig,2.10,3.25,3.50,07-18 15:28,Live
91,2,Dynamo Dresden,1,1,Hansa Rostock,2.20,3.30,3.30,07-19 02:28,Live
92,2,Dynamo Dresden,1,1,Hansa Rostock,2.25,3.20,3.20,07-18 15:28,Live
93,2,Eintracht Frankfurt,1,1,St. Pauli,1.80,3.60,4.33,07-25 19:47,Live
94,2,Eintracht Frankfurt,1,1,St. Pauli,1.72,3.60,4.75,07-25 18:38,Live
95,2,Eintracht Frankfurt,1,1,St. Pauli,1.80,3.60,4.33,07-25 15:27,Live
96,2,Eintracht Frankfurt,1,1,St. Pauli,1.75,3.75,4.50,07-25 04:34,Live
97,2,Eintracht Frankfurt,1,1,St. Pauli,1.80,3.60,4.33,07-25 02:54,Live
98,2,Eintracht Frankfurt,1,1,St. Pauli,1.80,3.60,4.50,07-25 02:53,Live
99,2,Eintracht Frankfurt,1,1,St. Pauli,1.75,3.75,4.50,07-25 00:18,Live
100,2,Eintracht Frankfurt,1,1,St. Pauli,1.80,3.50,4.50,07-24 15:28,Live
101,2,Eintracht Frankfurt,1,1,St. Pauli,1.75,3.75,4.50,07-22 08:32,Live
102,2,Eintracht Frankfurt,1,1,St. Pauli,1.75,3.50,4.75,07-18 20:15,Live
103,3,Union Berlin,3,0,SC Paderborn 07,2.25,3.40,3.10,08-05 16:47,Live
104,3,Union Berlin,3,0,SC Paderborn 07,2.10,3.40,3.40,08-02 03:41,Live
105,3,Union Berlin,3,0,SC Paderborn 07,2.20,3.20,3.10,07-31 07:54,Live
106,3,St. Pauli,3,1,Alemannia Aachen,1.66,3.75,5.00,08-05 16:56,Live
107,3,St. Pauli,3,1,Alemannia Aachen,1.57,4.00,5.50,08-05 12:21,Live
108,3,St. Pauli,3,1,Alemannia Aachen,1.57,4.00,5.75,08-05 05:53,Live
109,3,St. Pauli,3,1,Alemannia Aachen,1.57,4.00,5.50,08-04 20:00,Live
110,3,St. Pauli,3,1,Alemannia Aachen,1.61,3.80,5.50,08-02 05:31,Live
111,3,St. Pauli,3,1,Alemannia Aachen,1.61,3.60,5.00,08-01 18:55,Live
112,3,St. Pauli,3,1,Alemannia Aachen,1.66,3.50,4.75,07-31 07:54,Live
113,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.72,3.50,5.00,08-05 16:56,Live
114,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.66,3.50,5.50,08-05 16:53,Live
115,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.57,3.75,6.00,08-05 10:50,Live
116,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.61,3.80,5.50,08-05 05:12,Live
117,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.66,3.60,5.50,08-04 22:11,Live
118,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.72,3.50,5.00,08-02 05:25,Live
119,3,Fortuna Dusseldorf,4,1,Ingolstadt,1.72,3.40,4.50,07-31 07:54,Live
120,3,Greuther Furth,1,0,Dynamo Dresden,1.57,3.80,6.00,08-02 05:27,Live
121,3,Greuther Furth,1,0,Dynamo Dresden,1.57,3.60,5.50,07-31 07:54,Live
122,3,Energie Cottbus,0,5,TSV 1860 Munchen,2.00,3.60,3.50,08-06 12:34,Live
123,3,Energie Cottbus,0,5,TSV 1860 Munchen,2.15,3.40,3.30,08-06 04:59,Live
124,3,Energie Cottbus,0,5,TSV 1860 Munchen,2.20,3.40,3.20,08-02 05:28,Live
125,3,Energie Cottbus,0,5,TSV 1860 Munchen,2.15,3.50,3.20,08-02 05:24,Live
126,3,Energie Cottbus,0,5,TSV 1860 Munchen,2.10,3.20,3.25,07-31 07:54,Live
127,3,Erzgebirge Aue,0,2,Karlsruher SC,2.10,3.40,3.40,08-06 22:25,Live
128,3,Erzgebirge Aue,0,2,Karlsruher SC,2.00,3.40,3.75,08-02 05:25,Live
129,3,Erzgebirge Aue,0,2,Karlsruher SC,2.00,3.30,3.40,07-31 13:31,Live
130,3,FSV Frankfurt,0,0,MSV Duisburg,3.10,3.40,2.25,08-02 05:27,Live
131,3,FSV Frankfurt,0,0,MSV Duisburg,3.00,3.20,2.25,07-31 13:31,Live
132,3,Eintracht Braunschweig,0,3,Eintracht Frankfurt,2.37,3.60,2.75,08-07 10:50,Live
133,3,Eintracht Braunschweig,0,3,Eintracht Frankfurt,2.50,3.50,2.62,08-07 05:56,Live
134,3,Eintracht Braunschweig,0,3,Eintracht Frankfurt,2.50,3.30,2.80,08-02 05:25,Live
135,3,Eintracht Braunschweig,0,3,Eintracht Frankfurt,2.40,3.10,2.80,08-02 02:23,Live
136,3,Hansa Rostock,0,0,VfL Bochum,2.40,3.40,2.80,08-08 20:12,Live
137,3,Hansa Rostock,0,0,VfL Bochum,2.50,3.40,2.70,08-08 19:52,Live
138,3,Hansa Rostock,0,0,VfL Bochum,2.60,3.40,2.60,08-08 17:51,Live
139,3,Hansa Rostock,0,0,VfL Bochum,2.50,3.40,2.70,08-08 09:33,Live
140,3,Hansa Rostock,0,0,VfL Bochum,2.60,3.40,2.60,08-08 08:09,Live
141,3,Hansa Rostock,0,0,VfL Bochum,2.62,3.40,2.60,08-08 04:15,Live
142,3,Hansa Rostock,0,0,VfL Bochum,2.75,3.20,2.60,08-02 05:30,Live
143,3,Hansa Rostock,0,0,VfL Bochum,2.62,3.20,2.50,08-01 20:16,Live
144,4,Dynamo Dresden,4,0,Union Berlin,2.50,3.30,2.75,08-12 14:54,Live
145,4,Dynamo Dresden,4,0,Union Berlin,2.40,3.30,2.87,08-12 14:36,Live
146,4,Dynamo Dresden,4,0,Union Berlin,2.30,3.40,3.00,08-12 03:23,Live
147,4,Dynamo Dresden,4,0,Union Berlin,2.25,3.40,3.00,08-08 16:36,Live
148,4,Karlsruher SC,1,3,Eintracht Braunschweig,2.10,3.40,3.40,08-12 16:53,Live
