,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,VfL Bochum,0,1,St. Pauli,2.37,3.30,2.90,07-28 13:07,Live
1,1,VfL Bochum,0,1,St. Pauli,2.45,3.25,2.87,07-27 13:40,Live
2,1,VfL Bochum,0,1,St. Pauli,2.40,3.25,2.90,07-24 13:02,Live
3,1,VfL Bochum,0,1,St. Pauli,2.37,3.25,3.00,07-02 00:53,Live
4,1,Ingolstadt,0,1,Union Berlin,2.00,3.25,3.90,07-29 09:25,Live
5,1,Ingolstadt,0,1,Union Berlin,2.15,3.20,3.50,07-05 00:10,Live
6,1,Ingolstadt,0,1,Union Berlin,2.05,3.20,3.80,07-03 10:41,Live
7,1,Ingolstadt,0,1,Union Berlin,1.95,3.25,4.20,07-02 00:53,Live
8,1,Darmstadt,1,0,Greuther Furth,2.10,3.25,3.50,07-29 14:42,Live
9,1,Darmstadt,1,0,Greuther Furth,2.00,3.30,3.80,07-29 10:13,Live
10,1,Darmstadt,1,0,Greuther Furth,2.15,3.25,3.40,07-28 22:53,Live
11,1,Darmstadt,1,0,Greuther Furth,2.05,3.25,3.75,07-03 10:41,Live
12,1,Darmstadt,1,0,Greuther Furth,1.95,3.30,4.00,07-02 00:53,Live
13,1,Arminia Bielefeld,2,1,Jahn Regensburg,2.00,3.50,3.60,07-27 22:42,Live
14,1,Arminia Bielefeld,2,1,Jahn Regensburg,1.95,3.50,3.80,07-27 08:40,Live
15,1,Arminia Bielefeld,2,1,Jahn Regensburg,2.10,3.40,3.40,07-02 00:53,Live
16,1,Nurnberg,3,0,Kaiserslautern,2.00,3.40,3.80,07-30 12:38,Live
17,1,Nurnberg,3,0,Kaiserslautern,2.10,3.30,3.50,07-28 23:09,Live
18,1,Nurnberg,3,0,Kaiserslautern,2.20,3.25,3.30,07-26 01:30,Live
19,1,Nurnberg,3,0,Kaiserslautern,2.30,3.20,3.20,07-02 00:53,Live
20,1,Holstein Kiel,2,2,SV Sandhausen,2.05,3.20,3.75,07-30 14:41,Live
21,1,Holstein Kiel,2,2,SV Sandhausen,2.15,3.20,3.50,07-30 13:21,Live
22,1,Holstein Kiel,2,2,SV Sandhausen,2.05,3.25,3.75,07-25 02:33,Live
23,1,Holstein Kiel,2,2,SV Sandhausen,2.00,3.25,3.90,07-23 16:20,Live
24,1,Holstein Kiel,2,2,SV Sandhausen,1.90,3.30,4.20,07-14 18:27,Live
25,1,Holstein Kiel,2,2,SV Sandhausen,2.10,3.20,3.60,07-02 00:53,Live
26,1,Dynamo Dresden,1,0,MSV Duisburg,2.10,3.30,3.50,07-27 18:09,Live
27,1,Dynamo Dresden,1,0,MSV Duisburg,2.00,3.40,3.75,07-26 18:36,Live
28,1,Dynamo Dresden,1,0,MSV Duisburg,2.10,3.30,3.50,07-25 02:35,Live
29,1,Dynamo Dresden,1,0,MSV Duisburg,2.05,3.30,3.60,07-03 14:39,Live
30,1,Dynamo Dresden,1,0,MSV Duisburg,2.00,3.40,3.75,07-02 00:53,Live
