,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Hertha Berlin,3,2,Rot-Weiss Oberhausen,1.4,4.5,7.5,08-19 02:50,Live
1,1,Hertha Berlin,3,2,Rot-Weiss Oberhausen,1.4,4.2,6.5,08-13 18:17,Live
2,1,Alemannia Aachen,2,2,Union Berlin,2.1,3.4,3.4,08-19 02:50,Live
3,1,Alemannia Aachen,2,2,Union Berlin,2.1,3.4,3,08-14 00:34,Live
4,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.3,3.3,3,08-20 17:57,Live
5,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.4,3.3,2.9,08-20 17:06,Live
6,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.3,3.3,3.1,08-20 13:58,Live
7,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.4,3.3,2.87,08-20 13:22,Live
8,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.45,3.3,2.8,08-19 02:50,Live
9,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.45,3.25,2.6,08-16 23:47,Live
10,1,FSV Frankfurt,2,1,Arminia Bielefeld,2.62,3.25,2.4,08-14 00:34,Live
11,1,SC Paderborn 07,0,1,Erzgebirge Aue,2,3.5,3.6,08-19 09:41,Live
12,1,SC Paderborn 07,0,1,Erzgebirge Aue,2.1,3.4,3.4,08-19 03:31,Live
13,1,SC Paderborn 07,0,1,Erzgebirge Aue,2.1,3.4,3,08-14 18:54,Live
14,1,Ingolstadt,1,4,Augsburg,3.1,3.4,2.25,08-19 02:50,Live
15,1,Ingolstadt,1,4,Augsburg,3,3.4,2.1,08-14 18:54,Live
16,1,Greuther Furth,4,1,Karlsruher SC,2.2,3.4,3.2,08-19 03:31,Live
17,1,Greuther Furth,4,1,Karlsruher SC,2.2,3.3,2.87,08-15 13:42,Live
18,1,Energie Cottbus,2,0,Fortuna Dusseldorf,2.1,3.4,3,08-17 14:24,Live
19,1,Energie Cottbus,2,0,Fortuna Dusseldorf,2.2,3.3,2.87,08-15 19:47,Live
20,1,VfL Osnabruck,1,3,MSV Duisburg,2.5,3.3,2.75,08-22 09:49,Live
21,1,VfL Osnabruck,1,3,MSV Duisburg,2.45,3.4,2.75,08-19 03:31,Live
22,1,VfL Osnabruck,1,3,MSV Duisburg,2.37,3.25,2.7,08-16 23:08,Live
23,1,VfL Osnabruck,1,3,MSV Duisburg,2.62,3.25,2.4,08-15 13:42,Live
24,1,VfL Bochum,3,2,TSV 1860 Munchen,1.95,3.4,3.8,08-23 18:31,Live
25,1,VfL Bochum,3,2,TSV 1860 Munchen,1.83,3.5,4.33,08-22 23:34,Live
26,1,VfL Bochum,3,2,TSV 1860 Munchen,1.9,3.4,4,08-19 09:41,Live
27,1,VfL Bochum,3,2,TSV 1860 Munchen,1.85,3.5,4.2,08-19 02:50,Live
28,1,VfL Bochum,3,2,TSV 1860 Munchen,1.8,3.4,4,08-16 20:19,Live
