,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Kaiserslautern,0,4,Hannover 96,2.40,3.25,2.90,08-01 14:45,Live
1,1,Kaiserslautern,0,4,Hannover 96,2.50,3.25,2.80,07-06 01:33,Live
2,1,VfL Bochum,2,1,Union Berlin,2.20,3.30,3.30,07-06 01:33,Live
3,1,Dynamo Dresden,1,1,Nurnberg,2.60,3.40,2.60,08-06 14:09,Live
4,1,Dynamo Dresden,1,1,Nurnberg,2.50,3.40,2.70,08-06 10:53,Live
5,1,Dynamo Dresden,1,1,Nurnberg,2.40,3.40,2.80,08-06 06:54,Live
6,1,Dynamo Dresden,1,1,Nurnberg,2.60,3.30,2.62,08-01 16:36,Live
7,1,Dynamo Dresden,1,1,Nurnberg,2.75,3.30,2.50,07-06 01:33,Live
8,1,SV Sandhausen,2,2,Fortuna Dusseldorf,2.45,3.10,3.00,08-06 14:09,Live
9,1,SV Sandhausen,2,2,Fortuna Dusseldorf,2.60,3.10,2.80,08-06 01:51,Live
10,1,SV Sandhausen,2,2,Fortuna Dusseldorf,2.55,3.20,2.80,08-05 20:33,Live
11,1,SV Sandhausen,2,2,Fortuna Dusseldorf,2.62,3.20,2.70,08-04 11:24,Live
12,1,SV Sandhausen,2,2,Fortuna Dusseldorf,2.70,3.20,2.62,07-27 06:51,Live
13,1,SV Sandhausen,2,2,Fortuna Dusseldorf,2.62,3.20,2.70,07-06 01:33,Live
14,1,Greuther Furth,1,0,TSV 1860 Munchen,2.30,3.25,3.10,08-07 12:43,Live
15,1,Greuther Furth,1,0,TSV 1860 Munchen,2.25,3.40,3.10,08-07 07:50,Live
16,1,Greuther Furth,1,0,TSV 1860 Munchen,2.15,3.40,3.30,08-07 03:19,Live
17,1,Greuther Furth,1,0,TSV 1860 Munchen,2.10,3.30,3.50,08-02 09:50,Live
18,1,Greuther Furth,1,0,TSV 1860 Munchen,2.15,3.30,3.40,07-06 01:33,Live
19,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,2.20,3.25,3.30,08-07 15:26,Live
20,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,2.05,3.30,3.60,08-07 15:04,Live
21,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,2.00,3.30,3.80,08-07 14:51,Live
22,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,2.05,3.30,3.60,08-07 12:47,Live
23,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,2.05,3.40,3.50,08-07 08:06,Live
24,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,2.00,3.40,3.75,08-05 00:26,Live
25,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,1.90,3.50,4.00,07-31 07:58,Live
26,1,Eintracht Braunschweig,2,1,Wurzburger Kickers,1.83,3.50,4.33,07-06 01:33,Live
27,1,Arminia Bielefeld,0,0,Karlsruher SC,2.37,3.00,3.20,08-07 12:43,Live
28,1,Arminia Bielefeld,0,0,Karlsruher SC,2.30,3.00,3.40,08-07 11:31,Live
29,1,Arminia Bielefeld,0,0,Karlsruher SC,2.50,3.00,3.00,08-07 02:00,Live
30,1,Arminia Bielefeld,0,0,Karlsruher SC,2.70,3.10,2.70,07-30 04:30,Live
31,1,Arminia Bielefeld,0,0,Karlsruher SC,2.60,3.20,2.75,07-06 01:33,Live
32,1,Heidenheimer,1,0,Erzgebirge Aue,2.20,3.25,3.30,08-07 12:47,Live
33,1,Heidenheimer,1,0,Erzgebirge Aue,2.15,3.30,3.40,08-01 17:42,Live
34,1,Heidenheimer,1,0,Erzgebirge Aue,2.20,3.30,3.30,08-01 16:42,Live
35,1,Heidenheimer,1,0,Erzgebirge Aue,2.15,3.30,3.40,07-31 00:35,Live
36,1,Heidenheimer,1,0,Erzgebirge Aue,2.10,3.30,3.50,07-24 17:02,Live
37,1,Heidenheimer,1,0,Erzgebirge Aue,2.05,3.30,3.60,07-06 01:33,Live
38,1,VfB Stuttgart,2,1,St. Pauli,1.83,3.50,4.33,08-08 19:25,Live
39,1,VfB Stuttgart,2,1,St. Pauli,1.72,3.50,5.00,08-08 18:44,Live
40,1,VfB Stuttgart,2,1,St. Pauli,1.75,3.50,4.75,08-08 07:49,Live
41,1,VfB Stuttgart,2,1,St. Pauli,1.75,3.75,4.50,08-08 07:41,Live
42,1,VfB Stuttgart,2,1,St. Pauli,1.72,3.60,4.75,07-06 01:33,Live
43,2,Erzgebirge Aue,2,0,SV Sandhausen,2.20,3.30,3.30,08-12 16:54,Live
44,2,Erzgebirge Aue,2,0,SV Sandhausen,2.15,3.30,3.40,08-12 15:07,Live
45,2,Erzgebirge Aue,2,0,SV Sandhausen,2.05,3.30,3.60,08-09 19:19,Live
46,2,Erzgebirge Aue,2,0,SV Sandhausen,2.00,3.30,3.80,08-09 08:38,Live
47,2,Erzgebirge Aue,2,0,SV Sandhausen,2.05,3.25,3.75,08-09 03:23,Live
48,2,Erzgebirge Aue,2,0,SV Sandhausen,2.00,3.30,3.80,08-08 19:26,Live
49,2,Erzgebirge Aue,2,0,SV Sandhausen,2.05,3.30,3.60,08-08 14:23,Live
50,2,Erzgebirge Aue,2,0,SV Sandhausen,2.10,3.30,3.50,08-08 10:53,Live
51,2,Nurnberg,1,1,Heidenheimer,1.85,3.60,4.00,08-11 23:51,Live
52,2,Nurnberg,1,1,Heidenheimer,1.80,3.60,4.33,08-08 19:26,Live
53,2,Nurnberg,1,1,Heidenheimer,1.83,3.60,4.20,08-08 13:14,Live
54,2,Nurnberg,1,1,Heidenheimer,1.85,3.60,4.00,08-08 10:53,Live
55,2,Fortuna Dusseldorf,1,0,VfB Stuttgart,3.60,3.40,2.00,08-12 15:07,Live
56,2,Fortuna Dusseldorf,1,0,VfB Stuttgart,3.40,3.40,2.10,08-12 14:27,Live
