,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Ingolstadt,2,2,Energie Cottbus,1.90,3.40,4.00,08-03 12:30,Live
1,1,Ingolstadt,2,2,Energie Cottbus,2.00,3.30,3.75,08-03 10:19,Live
2,1,Ingolstadt,2,2,Energie Cottbus,2.10,3.30,3.50,07-31 10:55,Live
3,1,Ingolstadt,2,2,Energie Cottbus,2.00,3.40,3.70,07-27 18:02,Live
4,1,Erzgebirge Aue,0,0,St. Pauli,3.50,3.40,2.05,08-03 14:02,Live
5,1,Erzgebirge Aue,0,0,St. Pauli,3.30,3.40,2.15,08-03 03:13,Live
6,1,Erzgebirge Aue,0,0,St. Pauli,3.60,3.40,2.00,07-27 18:02,Live
7,1,Hertha Berlin,2,2,SC Paderborn 07,1.53,4.20,5.50,08-03 19:41,Live
8,1,Hertha Berlin,2,2,SC Paderborn 07,1.50,4.33,6.00,08-03 12:49,Live
9,1,Hertha Berlin,2,2,SC Paderborn 07,1.57,4.10,5.50,08-03 07:42,Live
10,1,Hertha Berlin,2,2,SC Paderborn 07,1.50,4.33,6.00,08-02 15:25,Live
11,1,Hertha Berlin,2,2,SC Paderborn 07,1.44,4.33,7.00,07-27 20:32,Live
12,1,TSV 1860 Munchen,1,0,Jahn Regensburg,1.36,4.75,8.50,08-04 12:05,Live
13,1,TSV 1860 Munchen,1,0,Jahn Regensburg,1.44,4.33,7.00,07-30 03:04,Live
14,1,TSV 1860 Munchen,1,0,Jahn Regensburg,1.50,4.00,7.00,07-28 13:02,Live
15,1,VfL Bochum,2,1,Dynamo Dresden,2.00,3.50,3.60,08-04 14:27,Live
16,1,VfL Bochum,2,1,Dynamo Dresden,2.10,3.40,3.40,08-04 11:17,Live
17,1,VfL Bochum,2,1,Dynamo Dresden,2.20,3.40,3.20,07-31 23:06,Live
18,1,VfL Bochum,2,1,Dynamo Dresden,2.05,3.40,3.60,07-28 15:31,Live
19,1,MSV Duisburg,1,4,Vfr Aalen,1.61,3.75,5.50,08-05 12:00,Live
20,1,MSV Duisburg,1,4,Vfr Aalen,1.70,3.75,4.75,08-05 08:08,Live
21,1,MSV Duisburg,1,4,Vfr Aalen,1.66,3.75,5.00,08-02 18:25,Live
22,1,MSV Duisburg,1,4,Vfr Aalen,1.70,3.75,4.75,07-29 23:11,Live
23,1,MSV Duisburg,1,4,Vfr Aalen,1.75,3.60,4.60,07-29 13:30,Live
24,1,SV Sandhausen,1,1,FSV Frankfurt,2.10,3.50,3.25,08-05 12:02,Live
25,1,SV Sandhausen,1,1,FSV Frankfurt,1.90,3.50,4.00,08-05 11:41,Live
26,1,SV Sandhausen,1,1,FSV Frankfurt,2.10,3.40,3.40,08-05 10:27,Live
27,1,SV Sandhausen,1,1,FSV Frankfurt,2.15,3.30,3.40,08-05 00:52,Live
28,1,SV Sandhausen,1,1,FSV Frankfurt,2.10,3.30,3.50,08-05 00:33,Live
29,1,SV Sandhausen,1,1,FSV Frankfurt,2.10,3.40,3.40,08-03 12:06,Live
30,1,SV Sandhausen,1,1,FSV Frankfurt,2.20,3.30,3.30,07-30 03:01,Live
31,1,SV Sandhausen,1,1,FSV Frankfurt,2.25,3.40,3.10,07-29 23:09,Live
32,1,SV Sandhausen,1,1,FSV Frankfurt,2.40,3.30,2.87,07-29 13:30,Live
33,1,Eintracht Braunschweig,1,0,FC Koln,2.20,3.40,3.20,08-05 13:42,Live
34,1,Eintracht Braunschweig,1,0,FC Koln,2.30,3.25,3.10,08-05 13:37,Live
35,1,Eintracht Braunschweig,1,0,FC Koln,2.30,3.40,3.00,08-05 09:41,Live
36,1,Eintracht Braunschweig,1,0,FC Koln,2.50,3.30,2.75,08-05 00:31,Live
37,1,Eintracht Braunschweig,1,0,FC Koln,2.30,3.30,3.00,08-03 18:39,Live
38,1,Eintracht Braunschweig,1,0,FC Koln,2.50,3.30,2.75,07-29 23:16,Live
39,1,Eintracht Braunschweig,1,0,FC Koln,2.62,3.30,2.62,07-29 23:14,Live
40,1,Eintracht Braunschweig,1,0,FC Koln,2.50,3.30,2.75,07-29 23:13,Live
41,1,Eintracht Braunschweig,1,0,FC Koln,2.62,3.30,2.62,07-29 22:42,Live
42,1,Eintracht Braunschweig,1,0,FC Koln,2.90,3.30,2.40,07-29 15:31,Live
43,1,Kaiserslautern,3,3,Union Berlin,1.66,3.60,5.25,08-06 10:40,Live
44,1,Kaiserslautern,3,3,Union Berlin,1.72,3.50,5.00,07-30 20:16,Live
45,2,FC Koln,1,1,SV Sandhausen,1.57,3.80,6.00,08-10 11:38,Live
46,2,FC Koln,1,1,SV Sandhausen,1.61,3.80,5.50,08-10 00:29,Live
47,2,FC Koln,1,1,SV Sandhausen,1.66,3.75,5.00,08-07 09:35,Live
48,2,FC Koln,1,1,SV Sandhausen,1.61,3.80,5.50,08-04 17:33,Live
49,2,Vfr Aalen,1,2,Kaiserslautern,3.20,3.40,2.20,08-10 13:22,Live
50,2,Vfr Aalen,1,2,Kaiserslautern,3.10,3.40,2.25,08-10 13:06,Live
51,2,Vfr Aalen,1,2,Kaiserslautern,3.00,3.40,2.30,08-10 12:37,Live
52,2,Vfr Aalen,1,2,Kaiserslautern,3.20,3.40,2.20,08-10 10:06,Live
53,2,Vfr Aalen,1,2,Kaiserslautern,3.00,3.40,2.30,08-10 06:12,Live
54,2,Vfr Aalen,1,2,Kaiserslautern,3.00,3.25,2.37,08-05 00:33,Live
55,2,Vfr Aalen,1,2,Kaiserslautern,3.00,3.20,2.37,08-04 17:33,Live
56,2,Energie Cottbus,3,0,Erzgebirge Aue,1.85,3.50,4.20,08-10 19:38,Live
57,2,Energie Cottbus,3,0,Erzgebirge Aue,1.90,3.60,3.80,08-10 19:35,Live
58,2,Energie Cottbus,3,0,Erzgebirge Aue,1.83,3.75,4.00,08-10 13:01,Live
59,2,Energie Cottbus,3,0,Erzgebirge Aue,1.83,3.50,4.33,08-10 06:12,Live
60,2,Energie Cottbus,3,0,Erzgebirge Aue,1.83,3.50,4.20,08-08 13:54,Live
61,2,Energie Cottbus,3,0,Erzgebirge Aue,1.90,3.40,4.00,08-06 11:35,Live
62,2,Energie Cottbus,3,0,Erzgebirge Aue,2.00,3.40,3.75,08-05 00:33,Live
63,2,Energie Cottbus,3,0,Erzgebirge Aue,2.00,3.50,3.60,08-04 17:33,Live
64,2,SC Paderborn 07,4,0,VfL Bochum,2.20,3.40,3.20,08-11 12:46,Live
65,2,SC Paderborn 07,4,0,VfL Bochum,2.10,3.40,3.40,08-11 09:51,Live
66,2,SC Paderborn 07,4,0,VfL Bochum,2.05,3.40,3.50,08-06 22:46,Live
67,2,SC Paderborn 07,4,0,VfL Bochum,2.00,3.40,3.75,08-05 00:33,Live
68,2,SC Paderborn 07,4,0,VfL Bochum,1.95,3.50,3.80,08-04 17:33,Live
69,2,St. Pauli,1,1,Ingolstadt,1.61,4.00,5.00,08-11 12:37,Live
70,2,St. Pauli,1,1,Ingolstadt,1.72,3.75,4.50,08-11 09:57,Live
71,2,St. Pauli,1,1,Ingolstadt,1.61,3.80,5.50,08-09 08:42,Live
72,2,St. Pauli,1,1,Ingolstadt,1.66,3.75,5.00,08-05 00:33,Live
73,2,St. Pauli,1,1,Ingolstadt,1.61,3.80,5.50,08-04 17:33,Live
74,2,Union Berlin,0,1,Eintracht Braunschweig,2.30,3.30,3.10,08-12 13:25,Live
75,2,Union Berlin,0,1,Eintracht Braunschweig,2.20,3.30,3.25,08-12 12:57,Live
76,2,Union Berlin,0,1,Eintracht Braunschweig,2.10,3.40,3.40,08-12 09:35,Live
77,2,Union Berlin,0,1,Eintracht Braunschweig,2.20,3.30,3.25,08-12 07:31,Live
78,2,Union Berlin,0,1,Eintracht Braunschweig,2.20,3.40,3.20,08-08 07:09,Live
79,2,Union Berlin,0,1,Eintracht Braunschweig,2.10,3.40,3.40,08-07 01:05,Live
80,2,Union Berlin,0,1,Eintracht Braunschweig,2.20,3.40,3.20,08-07 00:27,Live
81,2,Union Berlin,0,1,Eintracht Braunschweig,2.20,3.40,3.10,08-07 00:25,Live
82,2,Union Berlin,0,1,Eintracht Braunschweig,2.10,3.40,3.40,08-06 19:25,Live
83,2,Union Berlin,0,1,Eintracht Braunschweig,2.00,3.40,3.75,08-05 13:31,Live
84,2,Jahn Regensburg,2,0,MSV Duisburg,2.80,3.25,2.50,08-12 12:55,Live
85,2,Jahn Regensburg,2,0,MSV Duisburg,2.87,3.30,2.40,08-12 07:31,Live
86,2,Jahn Regensburg,2,0,MSV Duisburg,2.70,3.40,2.50,08-05 13:31,Live
87,2,FSV Frankfurt,3,1,Hertha Berlin,3.40,3.50,2.05,08-12 13:09,Live
88,2,FSV Frankfurt,3,1,Hertha Berlin,3.80,3.60,1.90,08-08 18:12,Live
89,2,FSV Frankfurt,3,1,Hertha Berlin,3.75,3.50,1.95,08-05 15:30,Live
90,2,Dynamo Dresden,2,2,TSV 1860 Munchen,2.40,3.40,2.80,08-12 12:26,Live
91,2,Dynamo Dresden,2,2,TSV 1860 Munchen,2.40,3.25,2.90,08-10 09:34,Live
92,2,Dynamo Dresden,2,2,TSV 1860 Munchen,2.37,3.25,3.00,08-06 22:59,Live
93,2,Dynamo Dresden,2,2,TSV 1860 Munchen,2.35,3.30,3.00,08-06 20:25,Live
94,3,Hertha Berlin,2,1,Jahn Regensburg,1.40,4.50,7.50,08-24 17:56,Live
95,3,Hertha Berlin,2,1,Jahn Regensburg,1.44,4.33,7.00,08-24 16:49,Live
96,3,Hertha Berlin,2,1,Jahn Regensburg,1.40,4.50,8.00,08-20 12:31,Live
97,3,Hertha Berlin,2,1,Jahn Regensburg,1.44,4.33,7.00,08-17 18:01,Live
98,3,Eintracht Braunschweig,2,1,SC Paderborn 07,1.83,3.50,4.33,08-24 07:31,Live
99,3,Eintracht Braunschweig,2,1,SC Paderborn 07,1.80,3.60,4.33,08-20 12:24,Live
100,3,Eintracht Braunschweig,2,1,SC Paderborn 07,2.00,3.50,3.60,08-20 01:13,Live
101,3,Eintracht Braunschweig,2,1,SC Paderborn 07,2.05,3.40,3.50,08-17 18:01,Live
102,3,SV Sandhausen,2,0,Union Berlin,2.60,3.40,2.60,08-24 17:47,Live
103,3,SV Sandhausen,2,0,Union Berlin,2.70,3.40,2.50,08-24 17:27,Live
104,3,SV Sandhausen,2,0,Union Berlin,2.62,3.30,2.62,08-24 13:02,Live
105,3,SV Sandhausen,2,0,Union Berlin,2.70,3.40,2.50,08-24 10:20,Live
106,3,SV Sandhausen,2,0,Union Berlin,2.80,3.40,2.40,08-24 10:03,Live
107,3,SV Sandhausen,2,0,Union Berlin,2.70,3.40,2.50,08-24 07:34,Live
108,3,SV Sandhausen,2,0,Union Berlin,2.60,3.30,2.62,08-23 17:38,Live
109,3,SV Sandhausen,2,0,Union Berlin,2.50,3.30,2.80,08-20 17:33,Live
110,3,SV Sandhausen,2,0,Union Berlin,2.60,3.30,2.62,08-20 12:40,Live
111,3,SV Sandhausen,2,0,Union Berlin,2.75,3.30,2.50,08-17 18:01,Live
112,3,MSV Duisburg,1,3,Dynamo Dresden,2.30,3.30,3.10,08-25 12:48,Live
113,3,MSV Duisburg,1,3,Dynamo Dresden,2.40,3.30,2.87,08-25 12:30,Live
114,3,MSV Duisburg,1,3,Dynamo Dresden,2.30,3.30,3.10,08-18 13:00,Live
115,3,Energie Cottbus,2,0,St. Pauli,3.20,3.25,2.25,08-25 12:50,Live
116,3,Energie Cottbus,2,0,St. Pauli,3.10,3.25,2.30,08-25 11:47,Live
117,3,Energie Cottbus,2,0,St. Pauli,2.80,3.25,2.50,08-25 04:26,Live
118,3,Energie Cottbus,2,0,St. Pauli,2.70,3.25,2.60,08-18 13:00,Live
119,3,VfL Bochum,0,1,Vfr Aalen,2.15,3.50,3.20,08-26 13:18,Live
120,3,VfL Bochum,0,1,Vfr Aalen,2.05,3.50,3.40,08-26 11:44,Live
121,3,VfL Bochum,0,1,Vfr Aalen,2.00,3.50,3.60,08-25 18:37,Live
122,3,VfL Bochum,0,1,Vfr Aalen,1.90,3.60,3.75,08-23 20:27,Live
123,3,VfL Bochum,0,1,Vfr Aalen,1.85,3.60,4.00,08-19 13:31,Live
124,3,Ingolstadt,0,2,FSV Frankfurt,2.00,3.30,3.75,08-26 13:07,Live
125,3,Ingolstadt,0,2,FSV Frankfurt,1.90,3.40,4.00,08-26 12:25,Live
126,3,Ingolstadt,0,2,FSV Frankfurt,1.83,3.50,4.33,08-26 09:39,Live
127,3,Ingolstadt,0,2,FSV Frankfurt,1.80,3.50,4.50,08-26 09:33,Live
128,3,Ingolstadt,0,2,FSV Frankfurt,1.83,3.50,4.33,08-26 07:50,Live
129,3,Ingolstadt,0,2,FSV Frankfurt,1.80,3.50,4.50,08-25 23:28,Live
130,3,Ingolstadt,0,2,FSV Frankfurt,1.75,3.50,4.75,08-20 22:50,Live
131,3,Ingolstadt,0,2,FSV Frankfurt,1.70,3.60,5.00,08-20 19:02,Live
132,3,Ingolstadt,0,2,FSV Frankfurt,1.66,3.60,5.50,08-20 18:40,Live
133,3,Ingolstadt,0,2,FSV Frankfurt,1.80,3.50,4.50,08-19 13:31,Live
134,3,Kaiserslautern,0,0,TSV 1860 Munchen,1.72,3.75,4.50,08-26 09:26,Live
135,3,Kaiserslautern,0,0,TSV 1860 Munchen,1.83,3.60,4.20,08-25 18:35,Live
136,3,Kaiserslautern,0,0,TSV 1860 Munchen,1.90,3.60,3.80,08-21 10:32,Live
137,3,Kaiserslautern,0,0,TSV 1860 Munchen,1.83,3.60,4.20,08-20 17:42,Live
138,3,Kaiserslautern,0,0,TSV 1860 Munchen,1.90,3.60,3.75,08-20 17:37,Live
139,3,Kaiserslautern,0,0,TSV 1860 Munchen,2.00,3.50,3.60,08-20 13:27,Live
