,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,VfB Stuttgart,2,1,Hannover 96,1.72,3.80,4.50,07-26 20:19,Live
1,1,VfB Stuttgart,2,1,Hannover 96,1.65,4.00,5.00,07-26 19:59,Live
2,1,VfB Stuttgart,2,1,Hannover 96,1.70,3.80,4.75,07-26 17:21,Live
3,1,VfB Stuttgart,2,1,Hannover 96,1.75,3.75,4.33,07-26 09:32,Live
4,1,VfB Stuttgart,2,1,Hannover 96,1.72,3.75,4.50,07-26 09:32,Live
5,1,VfB Stuttgart,2,1,Hannover 96,1.75,3.75,4.33,07-26 09:32,Live
6,1,VfB Stuttgart,2,1,Hannover 96,1.72,3.75,4.50,07-26 09:09,Live
7,1,VfB Stuttgart,2,1,Hannover 96,1.80,3.60,4.33,07-19 08:35,Live
8,1,VfB Stuttgart,2,1,Hannover 96,1.83,3.60,4.20,07-15 02:36,Live
9,1,VfB Stuttgart,2,1,Hannover 96,1.90,3.50,4.00,06-29 23:48,Live
10,1,Dynamo Dresden,0,1,Nurnberg,2.55,3.25,2.75,07-27 12:51,Live
11,1,Dynamo Dresden,0,1,Nurnberg,2.70,3.25,2.60,07-27 08:47,Live
12,1,Dynamo Dresden,0,1,Nurnberg,3.00,3.25,2.37,07-25 18:11,Live
13,1,Dynamo Dresden,0,1,Nurnberg,2.90,3.30,2.40,07-25 13:36,Live
14,1,Dynamo Dresden,0,1,Nurnberg,2.70,3.25,2.60,06-30 12:38,Live
15,1,Dynamo Dresden,0,1,Nurnberg,2.80,3.25,2.50,06-29 23:48,Live
16,1,VfL Osnabruck,1,3,Heidenheimer,2.50,3.25,2.75,07-27 14:42,Live
17,1,VfL Osnabruck,1,3,Heidenheimer,2.40,3.25,2.90,07-25 15:23,Live
18,1,VfL Osnabruck,1,3,Heidenheimer,2.55,3.25,2.75,06-30 13:53,Live
19,1,VfL Osnabruck,1,3,Heidenheimer,2.70,3.25,2.60,06-30 12:17,Live
20,1,VfL Osnabruck,1,3,Heidenheimer,2.80,3.25,2.50,06-29 23:48,Live
21,1,Holstein Kiel,1,1,SV Sandhausen,1.75,3.75,4.33,07-27 15:19,Live
22,1,Holstein Kiel,1,1,SV Sandhausen,1.90,3.60,3.75,07-27 08:48,Live
23,1,Holstein Kiel,1,1,SV Sandhausen,2.00,3.60,3.50,07-15 02:36,Live
24,1,Holstein Kiel,1,1,SV Sandhausen,1.90,3.60,3.75,07-03 06:37,Live
25,1,Holstein Kiel,1,1,SV Sandhausen,1.85,3.75,4.00,06-29 23:48,Live
26,1,Hamburger SV,1,1,Darmstadt,1.55,3.75,6.50,07-28 13:26,Live
27,1,Hamburger SV,1,1,Darmstadt,1.57,3.75,6.00,07-28 10:38,Live
