,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away,Date,Status
0,1,Hamburger SV,0,3,Holstein Kiel,1.75,3.75,4.50,08-03 20:11,Live
1,1,Hamburger SV,0,3,Holstein Kiel,1.72,3.60,4.75,08-03 19:49,Live
2,1,Hamburger SV,0,3,Holstein Kiel,1.66,3.75,5.00,08-03 17:40,Live
3,1,Hamburger SV,0,3,Holstein Kiel,1.72,3.60,4.75,08-03 17:05,Live
4,1,Hamburger SV,0,3,Holstein Kiel,1.70,3.60,5.00,08-03 09:02,Live
5,1,Hamburger SV,0,3,Holstein Kiel,1.66,3.60,5.25,08-02 12:19,Live
6,1,Hamburger SV,0,3,Holstein Kiel,1.70,3.60,5.00,07-17 15:32,Live
7,1,Hamburger SV,0,3,Holstein Kiel,1.75,3.50,4.75,07-12 19:27,Live
8,1,Hamburger SV,0,3,Holstein Kiel,1.66,3.60,5.25,07-12 06:24,Live
9,1,Hamburger SV,0,3,Holstein Kiel,1.61,3.75,5.50,07-11 17:46,Live
10,1,VfL Bochum,0,2,FC Koln,3.10,3.10,2.37,08-04 12:53,Live
11,1,VfL Bochum,0,2,FC Koln,3.20,3.10,2.37,08-04 12:49,Live
12,1,VfL Bochum,0,2,FC Koln,3.25,3.10,2.30,08-04 12:23,Live
13,1,VfL Bochum,0,2,FC Koln,3.20,3.10,2.30,08-04 12:20,Live
14,1,VfL Bochum,0,2,FC Koln,3.00,3.10,2.45,08-04 11:05,Live
15,1,VfL Bochum,0,2,FC Koln,2.90,3.10,2.50,08-04 04:16,Live
16,1,VfL Bochum,0,2,FC Koln,2.80,3.10,2.60,07-30 19:42,Live
17,1,VfL Bochum,0,2,FC Koln,2.75,3.10,2.62,07-30 15:11,Live
18,1,VfL Bochum,0,2,FC Koln,2.90,3.10,2.50,07-29 18:38,Live
19,1,VfL Bochum,0,2,FC Koln,2.80,3.10,2.60,07-12 10:56,Live
20,1,VfL Bochum,0,2,FC Koln,3.00,3.10,2.45,07-11 17:46,Live
21,1,Greuther Furth,3,1,SV Sandhausen,3.00,3.20,2.45,08-04 15:24,Live
22,1,Greuther Furth,3,1,SV Sandhausen,2.87,3.20,2.50,08-04 15:12,Live
23,1,Greuther Furth,3,1,SV Sandhausen,2.75,3.20,2.62,08-04 14:36,Live
24,1,Greuther Furth,3,1,SV Sandhausen,2.75,3.20,2.60,08-04 13:52,Live
25,1,Greuther Furth,3,1,SV Sandhausen,2.60,3.20,2.75,08-04 11:44,Live
26,1,Greuther Furth,3,1,SV Sandhausen,2.50,3.20,2.87,08-04 08:44,Live
27,1,Greuther Furth,3,1,SV Sandhausen,2.60,3.20,2.75,08-04 08:41,Live
28,1,Greuther Furth,3,1,SV Sandhausen,2.50,3.20,2.87,08-04 08:40,Live
29,1,Greuther Furth,3,1,SV Sandhausen,2.37,3.20,3.00,08-04 04:13,Live
30,1,Greuther Furth,3,1,SV Sandhausen,2.25,3.20,3.30,07-11 17:46,Live
31,1,Jahn Regensburg,2,1,Ingolstadt,3.00,3.20,2.37,08-04 14:27,Live
32,1,Jahn Regensburg,2,1,Ingolstadt,3.20,3.20,2.30,07-30 14:38,Live
33,1,Jahn Regensburg,2,1,Ingolstadt,3.00,3.20,2.40,07-11 17:46,Live
34,1,Magdeburg,1,2,St. Pauli,2.30,3.20,3.10,08-05 12:02,Live
35,1,Magdeburg,1,2,St. Pauli,2.20,3.25,3.30,07-11 17:46,Live
36,1,Heidenheimer,1,1,Arminia Bielefeld,2.60,3.20,2.80,08-05 09:55,Live
37,1,Heidenheimer,1,1,Arminia Bielefeld,2.40,3.20,3.00,07-11 17:46,Live
38,1,Darmstadt,1,0,SC Paderborn 07,2.70,3.25,2.55,08-05 14:37,Live
39,1,Darmstadt,1,0,SC Paderborn 07,2.90,3.25,2.40,08-05 09:07,Live
40,1,Darmstadt,1,0,SC Paderborn 07,2.70,3.25,2.60,08-05 06:16,Live
41,1,Darmstadt,1,0,SC Paderborn 07,2.60,3.25,2.70,08-05 03:05,Live
42,1,Darmstadt,1,0,SC Paderborn 07,2.45,3.25,2.87,07-14 12:22,Live
43,1,Darmstadt,1,0,SC Paderborn 07,2.37,3.25,3.00,07-12 13:36,Live
44,1,Darmstadt,1,0,SC Paderborn 07,2.25,3.25,3.20,07-11 17:46,Live
45,1,Union Berlin,1,0,Erzgebirge Aue,1.95,3.50,4.00,08-05 14:33,Live
46,1,Union Berlin,1,0,Erzgebirge Aue,1.85,3.50,4.33,08-05 14:33,Live
47,1,Union Berlin,1,0,Erzgebirge Aue,1.95,3.50,4.00,08-05 14:33,Live
48,1,Union Berlin,1,0,Erzgebirge Aue,1.85,3.50,4.33,08-05 14:28,Live
49,1,Union Berlin,1,0,Erzgebirge Aue,1.80,3.50,4.50,08-03 17:27,Live
50,1,Union Berlin,1,0,Erzgebirge Aue,1.83,3.50,4.50,08-03 17:21,Live
51,1,Union Berlin,1,0,Erzgebirge Aue,1.80,3.50,4.50,08-02 04:49,Live
52,1,Union Berlin,1,0,Erzgebirge Aue,1.75,3.50,4.75,07-12 09:11,Live
53,1,Union Berlin,1,0,Erzgebirge Aue,1.72,3.50,5.00,07-11 17:46,Live
54,1,Dynamo Dresden,1,0,MSV Duisburg,2.25,3.30,3.20,08-06 20:10,Live
55,1,Dynamo Dresden,1,0,MSV Duisburg,2.20,3.30,3.30,08-06 05:59,Live
56,1,Dynamo Dresden,1,0,MSV Duisburg,2.25,3.25,3.20,07-25 03:00,Live
57,1,Dynamo Dresden,1,0,MSV Duisburg,2.10,3.25,3.40,07-24 09:27,Live
58,1,Dynamo Dresden,1,0,MSV Duisburg,2.20,3.25,3.25,07-11 17:46,Live
