,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,3,1,Bayer Leverkusen,1.26,5.68,10.38
1,1,VfL Wolfsburg,0,3,Borussia Dortmund,4.15,3.77,1.76
2,1,Hamburger SV,1,0,Augsburg,2.21,3.24,3.21
3,1,Hertha Berlin,2,0,VfB Stuttgart,2.11,3.35,3.33
4,1,TSG Hoffenheim,1,0,Werder Bremen,1.76,3.83,4.13
5,1,FSV Mainz 05,0,1,Hannover 96,2.08,3.32,3.40
6,1,Schalke 04,2,0,RB Leipzig,2.57,3.33,2.58
7,1,SC Freiburg,0,0,Eintracht Frankfurt,2.37,3.28,2.86
8,1,Borussia Monchengladbach,1,0,FC Koln,2.01,3.38,3.49
9,2,FC Koln,1,3,Hamburger SV,1.85,3.40,4.03
10,2,Eintracht Frankfurt,0,1,VfL Wolfsburg,2.36,3.26,2.84
11,2,Augsburg,2,2,Borussia Monchengladbach,2.88,3.27,2.33
12,2,Werder Bremen,0,2,Bayern Munchen,9.88,5.94,1.24
13,2,VfB Stuttgart,1,0,FSV Mainz 05,2.28,3.34,2.88
14,2,Bayer Leverkusen,2,2,TSG Hoffenheim,2.20,3.43,2.96
15,2,Borussia Dortmund,2,0,Hertha Berlin,1.36,4.86,7.30
16,2,RB Leipzig,4,1,SC Freiburg,1.41,4.55,6.63
17,2,Hannover 96,1,0,Schalke 04,2.97,3.35,2.26
18,3,Hamburger SV,0,2,RB Leipzig,3.59,3.44,1.98
19,3,SC Freiburg,0,0,Borussia Dortmund,6.69,4.60,1.42
20,3,VfL Wolfsburg,1,1,Hannover 96,1.83,3.51,4.09
21,3,FSV Mainz 05,3,1,Bayer Leverkusen,2.71,3.38,2.43
22,3,Borussia Monchengladbach,0,1,Eintracht Frankfurt,1.80,3.52,4.22
23,3,Augsburg,3,0,FC Koln,2.40,3.23,2.87
24,3,TSG Hoffenheim,2,0,Bayern Munchen,6.25,4.60,1.43
25,3,Hertha Berlin,1,1,Werder Bremen,1.94,3.45,3.69
26,3,Schalke 04,3,1,VfB Stuttgart,1.80,3.60,4.20
27,4,Hannover 96,2,0,Hamburger SV,2.29,3.35,2.96
28,4,Werder Bremen,1,2,Schalke 04,2.59,3.34,2.54
29,4,VfB Stuttgart,1,0,VfL Wolfsburg,2.32,3.36,2.87
30,4,Bayern Munchen,4,0,FSV Mainz 05,1.12,8.21,18.29
31,4,Eintracht Frankfurt,1,2,Augsburg,1.90,3.41,3.97
