,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Borussia Dortmund,2,1,Werder Bremen,1.36,4.63,7.76
1,1,Greuther Furth,0,3,Bayern Munchen,7.22,4.37,1.40
2,1,SC Freiburg,1,1,FSV Mainz 05,2.45,3.21,2.71
3,1,Augsburg,0,2,Fortuna Dusseldorf,2.11,3.26,3.26
4,1,Hamburger SV,0,1,Nurnberg,1.97,3.32,3.64
5,1,Borussia Monchengladbach,2,1,TSG Hoffenheim,1.88,3.35,3.84
6,1,Eintracht Frankfurt,2,1,Bayer Leverkusen,2.82,3.26,2.34
7,1,VfB Stuttgart,0,1,VfL Wolfsburg,1.93,3.42,3.64
8,1,Hannover 96,2,2,Schalke 04,2.65,3.26,2.50
9,2,FSV Mainz 05,0,1,Greuther Furth,1.86,3.38,4.06
10,2,Werder Bremen,2,0,Hamburger SV,1.81,3.50,4.14
11,2,Nurnberg,1,1,Borussia Dortmund,6.04,3.91,1.52
12,2,TSG Hoffenheim,0,4,Eintracht Frankfurt,2.02,3.32,3.52
13,2,Schalke 04,3,1,Augsburg,1.36,4.51,8.01
14,2,Bayer Leverkusen,2,0,SC Freiburg,1.57,3.81,5.55
15,2,Fortuna Dusseldorf,0,0,Borussia Monchengladbach,3.02,3.26,2.27
16,2,VfL Wolfsburg,0,4,Hannover 96,2.04,3.37,3.44
17,2,Bayern Munchen,6,1,VfB Stuttgart,1.28,5.28,10.04
18,3,Augsburg,0,0,VfL Wolfsburg,2.67,3.24,2.50
19,3,Borussia Dortmund,3,0,Bayer Leverkusen,1.46,4.04,6.72
20,3,Bayern Munchen,3,1,FSV Mainz 05,1.17,6.50,14.45
21,3,Borussia Monchengladbach,2,3,Nurnberg,1.89,3.34,3.88
22,3,VfB Stuttgart,0,0,Fortuna Dusseldorf,1.61,3.70,5.22
23,3,Hannover 96,3,2,Werder Bremen,2.29,3.29,2.85
24,3,Greuther Furth,0,2,Schalke 04,4.12,3.45,1.81
25,3,SC Freiburg,5,3,TSG Hoffenheim,2.33,3.25,2.87
26,3,Eintracht Frankfurt,3,2,Hamburger SV,2.01,3.38,3.47
27,4,Nurnberg,1,2,Eintracht Frankfurt,2.13,3.29,3.20
28,4,VfL Wolfsburg,1,1,Greuther Furth,1.78,3.51,4.23
29,4,FSV Mainz 05,2,0,Augsburg,1.78,3.44,4.31
30,4,Hamburger SV,3,2,Borussia Dortmund,4.66,3.63,1.70
31,4,Fortuna Dusseldorf,0,0,SC Freiburg,2.12,3.25,3.23
32,4,Schalke 04,0,2,Bayern Munchen,3.88,3.46,1.85
33,4,Bayer Leverkusen,1,1,Borussia Monchengladbach,2.01,3.34,3.48
34,4,Werder Bremen,2,2,VfB Stuttgart,1.96,3.44,3.61
35,4,TSG Hoffenheim,3,1,Hannover 96,2.42,3.33,2.71
