,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,2,1,VfL Wolfsburg,1.20,6.28,11.43
1,1,TSG Hoffenheim,2,0,Augsburg,2.03,3.44,3.35
2,1,Hannover 96,2,1,Schalke 04,2.89,3.36,2.28
3,1,Hertha Berlin,2,2,Werder Bremen,2.05,3.38,3.36
4,1,Eintracht Frankfurt,1,0,SC Freiburg,2.00,3.38,3.45
5,1,FC Koln,0,0,Hamburger SV,2.21,3.33,3.03
6,1,Borussia Dortmund,0,2,Bayer Leverkusen,1.55,4.00,5.43
7,1,SC Paderborn 07,2,2,FSV Mainz 05,2.86,3.29,2.32
8,1,Borussia Monchengladbach,1,1,VfB Stuttgart,1.96,3.42,3.56
9,2,Augsburg,2,3,Borussia Dortmund,5.04,3.92,1.58
10,2,Bayer Leverkusen,4,2,Hertha Berlin,1.49,4.08,6.08
11,2,VfL Wolfsburg,2,2,Eintracht Frankfurt,1.64,3.75,4.84
12,2,VfB Stuttgart,0,2,FC Koln,2.05,3.35,3.34
13,2,Hamburger SV,0,3,SC Paderborn 07,1.75,3.59,4.23
14,2,Werder Bremen,1,1,TSG Hoffenheim,2.76,3.37,2.35
15,2,Schalke 04,1,1,Bayern Munchen,5.76,4.30,1.48
16,2,FSV Mainz 05,0,0,Hannover 96,2.05,3.42,3.32
17,2,SC Freiburg,0,0,Borussia Monchengladbach,2.85,3.34,2.32
18,3,Bayer Leverkusen,3,3,Werder Bremen,1.29,5.23,9.01
19,3,TSG Hoffenheim,1,1,VfL Wolfsburg,2.23,3.41,2.91
20,3,Hertha Berlin,1,3,FSV Mainz 05,2.25,3.29,2.98
21,3,SC Paderborn 07,0,0,FC Koln,2.84,3.25,2.37
22,3,Bayern Munchen,2,0,VfB Stuttgart,1.16,7.30,12.83
23,3,Borussia Dortmund,3,1,SC Freiburg,1.25,5.61,9.95
24,3,Borussia Monchengladbach,4,1,Schalke 04,2.31,3.34,2.86
25,3,Eintracht Frankfurt,0,1,Augsburg,2.18,3.34,3.09
26,3,Hannover 96,2,0,Hamburger SV,2.10,3.40,3.20
27,4,SC Freiburg,2,2,Hertha Berlin,2.61,3.19,2.57
28,4,Augsburg,4,2,Werder Bremen,1.86,3.51,3.90
29,4,Schalke 04,2,2,Eintracht Frankfurt,1.69,3.73,4.43
30,4,VfB Stuttgart,0,2,TSG Hoffenheim,2.51,3.28,2.61
31,4,Hamburger SV,0,0,Bayern Munchen,9.35,5.48,1.28
32,4,SC Paderborn 07,2,0,Hannover 96,2.80,3.24,2.38
33,4,FSV Mainz 05,2,0,Borussia Dortmund,5.13,4.08,1.56
34,4,VfL Wolfsburg,4,1,Bayer Leverkusen,2.56,3.36,2.51
35,4,FC Koln,0,0,Borussia Monchengladbach,2.68,3.20,2.54
36,5,Werder Bremen,0,3,Schalke 04,3.06,3.40,2.16
37,5,Eintracht Frankfurt,2,2,FSV Mainz 05,2.34,3.25,2.86
38,5,Bayern Munchen,4,0,SC Paderborn 07,1.11,7.94,21.76
39,5,TSG Hoffenheim,3,3,SC Freiburg,1.65,3.78,4.65
40,5,Borussia Dortmund,2,2,VfB Stuttgart,1.33,4.96,8.01
41,5,Bayer Leverkusen,1,0,Augsburg,1.42,4.49,6.58
42,5,Borussia Monchengladbach,1,0,Hamburger SV,1.57,3.91,5.23
43,5,Hannover 96,1,0,FC Koln,2.09,3.31,3.33
44,5,Hertha Berlin,1,0,VfL Wolfsburg,2.75,3.28,2.42
