,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,6,0,Werder Bremen,1.13,8.14,17.52
1,1,Borussia Dortmund,2,1,FSV Mainz 05,1.39,4.61,7.37
2,1,FC Koln,2,0,Darmstadt,1.77,3.45,4.53
3,1,Hamburger SV,1,1,Ingolstadt,2.22,3.21,3.23
4,1,Augsburg,0,2,VfL Wolfsburg,2.81,3.30,2.41
5,1,Eintracht Frankfurt,1,0,Schalke 04,3.08,3.39,2.18
6,1,Borussia Monchengladbach,2,1,Bayer Leverkusen,2.48,3.32,2.69
7,1,Hertha Berlin,2,1,SC Freiburg,2.01,3.26,3.68
8,1,TSG Hoffenheim,2,2,RB Leipzig,2.55,3.25,2.67
9,2,Schalke 04,0,2,Bayern Munchen,9.31,5.26,1.31
10,2,Darmstadt,1,0,Eintracht Frankfurt,2.63,3.20,2.60
11,2,VfL Wolfsburg,0,0,FC Koln,1.81,3.64,4.17
12,2,SC Freiburg,3,1,Borussia Monchengladbach,3.28,3.37,2.11
13,2,Ingolstadt,0,2,Hertha Berlin,2.36,3.15,2.97
14,2,Bayer Leverkusen,3,1,Hamburger SV,1.46,4.25,6.48
15,2,RB Leipzig,1,0,Borussia Dortmund,5.79,4.19,1.51
16,2,Werder Bremen,1,2,Augsburg,2.33,3.35,2.86
17,2,FSV Mainz 05,4,4,TSG Hoffenheim,2.01,3.43,3.47
18,3,FC Koln,3,0,SC Freiburg,1.87,3.47,3.97
19,3,Hamburger SV,0,4,RB Leipzig,2.40,3.27,2.80
20,3,Borussia Dortmund,6,0,Darmstadt,1.13,7.98,16.25
21,3,Bayern Munchen,3,1,Ingolstadt,1.07,11.12,27.02
22,3,TSG Hoffenheim,0,0,VfL Wolfsburg,2.84,3.44,2.28
23,3,Eintracht Frankfurt,2,1,Bayer Leverkusen,3.74,3.55,1.91
24,3,Borussia Monchengladbach,4,1,Werder Bremen,1.54,4.19,5.40
25,3,Augsburg,1,3,FSV Mainz 05,2.32,3.40,2.87
26,3,Hertha Berlin,2,0,Schalke 04,2.45,3.30,2.73
27,4,Darmstadt,1,1,TSG Hoffenheim,3.04,3.35,2.24
28,4,VfL Wolfsburg,1,5,Borussia Dortmund,3.74,3.62,1.89
29,4,Ingolstadt,0,2,Eintracht Frankfurt,2.30,3.21,3.05
30,4,SC Freiburg,1,0,Hamburger SV,2.28,3.30,3.03
31,4,Bayern Munchen,3,0,Hertha Berlin,1.11,8.60,21.92
32,4,Bayer Leverkusen,0,0,Augsburg,1.50,4.30,5.91
33,4,Werder Bremen,1,2,FSV Mainz 05,2.55,3.41,2.61
34,4,RB Leipzig,1,1,Borussia Monchengladbach,2.56,3.37,2.59
35,4,Schalke 04,1,3,FC Koln,1.93,3.45,3.80
36,5,Borussia Dortmund,3,1,SC Freiburg,1.18,6.84,13.38
37,5,Augsburg,1,0,Darmstadt,1.76,3.56,4.59
38,5,Borussia Monchengladbach,2,0,Ingolstadt,1.55,4.01,5.69
39,5,Eintracht Frankfurt,3,3,Hertha Berlin,2.46,3.19,2.84
40,5,FSV Mainz 05,2,3,Bayer Leverkusen,2.93,3.37,2.32
41,5,Hamburger SV,0,1,Bayern Munchen,11.51,5.92,1.23
42,5,Werder Bremen,2,1,VfL Wolfsburg,3.33,3.49,2.07
43,5,TSG Hoffenheim,2,1,Schalke 04,2.78,3.46,2.37
44,5,FC Koln,1,1,RB Leipzig,2.30,3.32,2.99
45,6,RB Leipzig,2,1,Augsburg,1.77,3.59,4.37
46,6,SC Freiburg,1,0,Eintracht Frankfurt,2.34,3.27,2.92
47,6,Hertha Berlin,2,0,Hamburger SV,1.93,3.40,3.84
48,6,Darmstadt,2,2,Werder Bremen,2.60,3.28,2.60
49,6,Ingolstadt,1,2,TSG Hoffenheim,2.23,3.29,3.10
50,6,Bayern Munchen,1,1,FC Koln,1.15,7.34,16.86
51,6,Bayer Leverkusen,2,0,Borussia Dortmund,3.36,3.51,2.04
52,6,VfL Wolfsburg,0,0,FSV Mainz 05,1.84,3.63,3.96
53,6,Schalke 04,4,0,Borussia Monchengladbach,2.35,3.39,2.82
54,7,Borussia Dortmund,1,1,Hertha Berlin,1.26,5.61,10.56
