,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,2,1,VfL Wolfsburg,1.60,3.70,5.20
1,1,Hannover 96,2,1,Eintracht Frankfurt,2.46,3.20,2.72
2,1,Borussia Monchengladbach,1,1,Nurnberg,1.96,3.29,3.63
3,1,FC Koln,1,3,Kaiserslautern,2.16,3.23,3.17
4,1,SC Freiburg,1,3,St. Pauli,2.21,3.24,3.06
5,1,TSG Hoffenheim,4,1,Werder Bremen,2.85,3.25,2.33
6,1,Hamburger SV,2,1,Schalke 04,2.33,3.22,2.88
7,1,FSV Mainz 05,2,0,VfB Stuttgart,3.00,3.25,2.24
8,1,Borussia Dortmund,0,2,Bayer Leverkusen,2.35,3.25,2.83
9,2,Kaiserslautern,2,0,Bayern Munchen,6.28,4.12,1.49
10,2,Nurnberg,1,2,SC Freiburg,1.95,3.34,3.67
11,2,Schalke 04,1,2,Hannover 96,1.33,4.61,8.96
12,2,Werder Bremen,4,2,FC Koln,1.39,4.45,7.32
13,2,VfL Wolfsburg,3,4,FSV Mainz 05,1.61,3.69,5.06
14,2,Eintracht Frankfurt,1,3,Hamburger SV,2.88,3.22,2.29
15,2,St. Pauli,0,1,TSG Hoffenheim,2.99,3.26,2.20
16,2,Bayer Leverkusen,3,6,Borussia Monchengladbach,1.39,4.35,7.58
17,2,VfB Stuttgart,1,3,Borussia Dortmund,2.23,3.24,3.01
18,3,TSG Hoffenheim,2,0,Schalke 04,2.43,3.22,2.71
19,3,Hamburger SV,1,1,Nurnberg,1.36,4.47,7.83
20,3,Borussia Dortmund,2,0,VfL Wolfsburg,2.15,3.26,3.13
21,3,Borussia Monchengladbach,0,4,Eintracht Frankfurt,2.13,3.28,3.18
22,3,Hannover 96,2,2,Bayer Leverkusen,3.48,3.34,2.00
23,3,SC Freiburg,2,1,VfB Stuttgart,3.25,3.28,2.10
24,3,Bayern Munchen,0,0,Werder Bremen,1.65,3.67,4.76
25,3,FSV Mainz 05,2,1,Kaiserslautern,2.15,3.25,3.18
26,3,FC Koln,1,0,St. Pauli,2.09,3.27,3.30
27,4,Eintracht Frankfurt,0,1,SC Freiburg,1.76,3.44,4.29
28,4,Kaiserslautern,2,2,TSG Hoffenheim,2.70,3.24,2.43
29,4,Bayern Munchen,0,0,FC Koln,1.23,5.43,10.47
30,4,Werder Bremen,0,2,FSV Mainz 05,1.44,4.10,6.41
31,4,VfL Wolfsburg,2,0,Hannover 96,1.52,3.89,5.63
32,4,VfB Stuttgart,7,0,Borussia Monchengladbach,1.73,3.44,4.42
33,4,St. Pauli,1,1,Hamburger SV,3.32,3.28,2.06
34,4,Bayer Leverkusen,0,0,Nurnberg,1.37,4.43,7.47
35,4,Schalke 04,1,3,Borussia Dortmund,2.15,3.24,3.16
36,5,TSG Hoffenheim,1,2,Bayern Munchen,3.43,3.34,2.01
37,5,FSV Mainz 05,2,0,FC Koln,1.98,3.29,3.53
38,5,Hannover 96,4,1,Werder Bremen,3.50,3.43,1.95
39,5,Nurnberg,2,1,VfB Stuttgart,2.97,3.25,2.25
40,5,SC Freiburg,1,2,Schalke 04,3.45,3.28,2.04
41,5,Borussia Monchengladbach,1,2,St. Pauli,1.99,3.34,3.49
42,5,Hamburger SV,1,3,VfL Wolfsburg,1.92,3.38,3.68
43,5,Borussia Dortmund,5,0,Kaiserslautern,1.48,3.92,6.40
44,5,Bayer Leverkusen,2,1,Eintracht Frankfurt,1.53,3.81,5.79
45,6,FC Koln,1,1,TSG Hoffenheim,2.92,3.21,2.24
46,6,Schalke 04,2,2,Borussia Monchengladbach,1.52,3.80,5.89
47,6,Bayern Munchen,1,2,FSV Mainz 05,1.36,4.49,7.93
48,6,VfB Stuttgart,1,4,Bayer Leverkusen,2.31,3.26,2.80
49,6,St. Pauli,1,3,Borussia Dortmund,3.34,3.29,2.05
50,6,Eintracht Frankfurt,2,0,Nurnberg,1.98,3.34,3.51
51,6,Werder Bremen,3,2,Hamburger SV,2.29,3.28,2.84
52,6,VfL Wolfsburg,2,1,SC Freiburg,1.44,4.14,6.45
53,6,Kaiserslautern,0,1,Hannover 96,2.11,3.31,3.19
54,7,Hannover 96,0,1,St. Pauli,2.03,3.29,3.35
55,7,SC Freiburg,3,2,FC Koln,2.25,3.23,2.99
56,7,Borussia Monchengladbach,1,1,VfL Wolfsburg,3.25,3.34,2.08
57,7,FSV Mainz 05,4,2,TSG Hoffenheim,2.18,3.28,3.09
58,7,Hamburger SV,2,1,Kaiserslautern,1.52,3.80,5.99
59,7,Nurnberg,2,1,Schalke 04,2.98,3.24,2.25
60,7,VfB Stuttgart,1,2,Eintracht Frankfurt,1.87,3.41,3.86
61,7,Borussia Dortmund,2,0,Bayern Munchen,2.49,3.29,2.61
62,7,Bayer Leverkusen,2,2,Werder Bremen,2.15,3.33,3.10
63,8,FC Koln,1,2,Borussia Dortmund,4.03,3.40,1.83
64,8,Werder Bremen,2,1,SC Freiburg,1.48,4.03,6.04
65,8,Schalke 04,2,2,VfB Stuttgart,1.97,3.32,3.54
66,8,Bayern Munchen,3,0,Hannover 96,1.32,4.68,8.52
67,8,St. Pauli,3,2,Nurnberg,2.15,3.21,3.18
68,8,FSV Mainz 05,0,1,Hamburger SV,2.29,3.24,2.90
69,8,VfL Wolfsburg,2,3,Bayer Leverkusen,2.25,3.31,2.90
70,8,Kaiserslautern,0,3,Eintracht Frankfurt,2.29,3.24,2.90
71,8,TSG Hoffenheim,3,2,Borussia Monchengladbach,1.61,3.64,5.11
72,9,Hamburger SV,0,0,Bayern Munchen,2.68,3.23,2.45
73,9,Nurnberg,2,1,VfL Wolfsburg,2.96,3.24,2.22
74,9,Hannover 96,2,1,FC Koln,2.05,3.25,3.34
75,9,SC Freiburg,2,1,Kaiserslautern,2.18,3.23,3.06
76,9,Borussia Monchengladbach,1,4,Werder Bremen,3.11,3.34,2.13
77,9,Eintracht Frankfurt,0,0,Schalke 04,2.62,3.24,2.47
78,9,Borussia Dortmund,1,1,TSG Hoffenheim,1.74,3.43,4.36
79,9,Bayer Leverkusen,0,1,FSV Mainz 05,1.87,3.40,3.81
