,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Borussia Monchengladbach,1,1,Bayern Munchen,5.15,4.71,1.51
1,1,VfL Wolfsburg,1,0,VfL Bochum,1.47,4.45,5.95
2,1,VfB Stuttgart,5,1,Greuther Furth,1.76,3.86,4.10
3,1,Union Berlin,1,1,Bayer Leverkusen,2.83,3.32,2.38
4,1,Augsburg,0,4,TSG Hoffenheim,3.19,3.58,2.10
5,1,Arminia Bielefeld,0,0,SC Freiburg,2.71,3.31,2.50
6,1,Borussia Dortmund,5,2,Eintracht Frankfurt,1.44,4.82,5.82
7,1,FSV Mainz 05,1,0,RB Leipzig,5.11,4.10,1.59
8,1,FC Koln,3,1,Hertha Berlin,2.54,3.26,2.69
9,2,RB Leipzig,4,0,VfB Stuttgart,1.44,4.68,6.20
10,2,Greuther Furth,1,1,Arminia Bielefeld,2.48,3.31,2.75
11,2,Hertha Berlin,1,2,VfL Wolfsburg,2.86,3.40,2.35
12,2,Eintracht Frankfurt,0,0,Augsburg,1.56,4.30,5.10
13,2,VfL Bochum,2,0,FSV Mainz 05,2.55,3.51,2.56
14,2,SC Freiburg,2,1,Borussia Dortmund,5.04,4.36,1.55
15,2,Bayer Leverkusen,4,0,Borussia Monchengladbach,2.15,3.53,3.12
16,2,TSG Hoffenheim,2,2,Union Berlin,2.08,3.48,3.32
17,2,Bayern Munchen,3,2,FC Koln,1.10,9.58,21.41
18,3,Borussia Dortmund,3,2,TSG Hoffenheim,1.48,4.73,5.79
19,3,VfB Stuttgart,2,3,SC Freiburg,2.04,3.59,3.36
20,3,FC Koln,2,1,VfL Bochum,1.90,3.59,3.82
21,3,FSV Mainz 05,3,0,Greuther Furth,1.73,3.81,4.45
22,3,Augsburg,1,4,Bayer Leverkusen,4.17,3.76,1.78
23,3,Arminia Bielefeld,1,1,Eintracht Frankfurt,3.35,3.60,2.04
24,3,Bayern Munchen,5,0,Hertha Berlin,1.22,6.72,11.00
25,3,Union Berlin,2,1,Borussia Monchengladbach,2.80,3.24,2.50
26,3,VfL Wolfsburg,1,0,RB Leipzig,3.05,3.43,2.23
27,4,Union Berlin,0,0,Augsburg,1.73,3.69,4.55
28,4,Greuther Furth,0,2,VfL Wolfsburg,4.75,3.86,1.67
29,4,SC Freiburg,1,1,FC Koln,2.13,3.51,3.23
30,4,TSG Hoffenheim,0,2,FSV Mainz 05,1.93,3.64,3.69
31,4,Bayer Leverkusen,3,4,Borussia Dortmund,3.15,3.69,2.08
32,4,RB Leipzig,1,4,Bayern Munchen,2.98,3.70,2.17
33,4,Eintracht Frankfurt,1,1,VfB Stuttgart,1.93,3.78,3.53
34,4,VfL Bochum,1,3,Hertha Berlin,2.84,3.25,2.49
35,4,Borussia Monchengladbach,3,1,Arminia Bielefeld,1.53,4.24,5.67
36,5,Hertha Berlin,2,1,Greuther Furth,1.67,3.92,4.64
37,5,FSV Mainz 05,0,0,SC Freiburg,2.16,3.46,3.14
38,5,Bayern Munchen,7,0,VfL Bochum,1.08,10.87,24.52
39,5,Arminia Bielefeld,0,0,TSG Hoffenheim,3.41,3.55,2.04
40,5,Augsburg,1,0,Borussia Monchengladbach,3.99,3.78,1.82
41,5,FC Koln,1,1,RB Leipzig,4.76,3.92,1.67
42,5,VfB Stuttgart,1,3,Bayer Leverkusen,3.25,3.68,2.06
43,5,Borussia Dortmund,4,2,Union Berlin,1.42,4.67,6.68
44,5,VfL Wolfsburg,1,1,Eintracht Frankfurt,1.86,3.75,3.80
45,6,Greuther Furth,1,3,Bayern Munchen,15.81,8.38,1.14
46,6,TSG Hoffenheim,3,1,VfL Wolfsburg,2.73,3.42,2.41
47,6,Eintracht Frankfurt,1,1,FC Koln,1.88,3.77,3.74
48,6,Bayer Leverkusen,1,0,FSV Mainz 05,1.75,3.90,4.21
49,6,Union Berlin,1,0,Arminia Bielefeld,1.76,3.63,4.45
50,6,RB Leipzig,6,0,Hertha Berlin,1.43,4.58,6.76
51,6,Borussia Monchengladbach,1,0,Borussia Dortmund,3.59,3.97,1.86
52,6,VfL Bochum,0,0,VfB Stuttgart,2.91,3.43,2.28
53,6,SC Freiburg,3,0,Augsburg,1.79,3.73,4.16
54,7,FC Koln,3,1,Greuther Furth,1.59,4.05,4.94
55,7,Borussia Dortmund,2,1,Augsburg,1.20,6.56,12.25
56,7,VfB Stuttgart,3,1,TSG Hoffenheim,2.49,3.71,2.51
57,7,VfL Wolfsburg,1,3,Borussia Monchengladbach,2.01,3.65,3.35
58,7,Hertha Berlin,1,2,SC Freiburg,2.35,3.44,2.87
59,7,RB Leipzig,3,0,VfL Bochum,1.26,5.87,10.57
60,7,FSV Mainz 05,1,2,Union Berlin,2.12,3.45,3.29
61,7,Bayern Munchen,1,2,Eintracht Frankfurt,1.18,7.42,12.56
62,7,Arminia Bielefeld,0,4,Bayer Leverkusen,4.38,3.81,1.74
63,8,TSG Hoffenheim,5,0,FC Koln,2.05,3.66,3.27
64,8,Eintracht Frankfurt,1,2,Hertha Berlin,1.78,3.83,4.11
65,8,SC Freiburg,1,1,RB Leipzig,4.30,3.85,1.73
66,8,Greuther Furth,0,1,VfL Bochum,2.31,3.41,2.90
67,8,Borussia Dortmund,3,1,FSV Mainz 05,1.39,4.91,7.07
68,8,Union Berlin,2,0,VfL Wolfsburg,2.65,3.30,2.56
69,8,Borussia Monchengladbach,1,1,VfB Stuttgart,1.68,4.09,4.38
70,8,Bayer Leverkusen,1,5,Bayern Munchen,4.46,4.31,1.63
71,8,Augsburg,1,1,Arminia Bielefeld,2.26,3.26,3.17
72,9,FSV Mainz 05,4,1,Augsburg,1.74,3.75,4.44
73,9,Bayern Munchen,4,0,TSG Hoffenheim,1.18,7.59,12.36
74,9,RB Leipzig,4,1,Greuther Furth,1.13,8.27,19.39
75,9,Arminia Bielefeld,1,3,Borussia Dortmund,7.69,4.94,1.36
76,9,VfL Wolfsburg,0,2,SC Freiburg,1.94,3.53,3.73
77,9,Hertha Berlin,1,0,Borussia Monchengladbach,3.32,3.47,2.09
78,9,FC Koln,2,2,Bayer Leverkusen,3.07,3.67,2.13
79,9,VfB Stuttgart,1,1,Union Berlin,2.37,3.45,2.80
80,9,VfL Bochum,2,0,Eintracht Frankfurt,3.39,3.52,2.04
81,10,TSG Hoffenheim,2,0,Hertha Berlin,1.70,3.91,4.45
82,10,Bayer Leverkusen,0,2,VfL Wolfsburg,2.04,3.50,3.45
83,10,Union Berlin,2,5,Bayern Munchen,7.46,5.32,1.35
84,10,Arminia Bielefeld,1,2,FSV Mainz 05,3.27,3.28,2.19
85,10,SC Freiburg,3,1,Greuther Furth,1.42,4.53,6.90
86,10,Borussia Dortmund,2,0,FC Koln,1.42,5.05,6.34
87,10,Eintracht Frankfurt,1,1,RB Leipzig,3.60,3.82,1.91
88,10,Augsburg,4,1,VfB Stuttgart,2.83,3.37,2.42
89,10,Borussia Monchengladbach,2,1,VfL Bochum,1.31,5.32,8.90
90,11,FSV Mainz 05,1,1,Borussia Monchengladbach,2.50,3.35,2.68
91,11,Bayern Munchen,2,1,SC Freiburg,1.20,7.02,11.39
92,11,VfL Wolfsburg,1,0,Augsburg,1.53,4.15,5.79
93,11,VfL Bochum,2,0,TSG Hoffenheim,3.61,3.70,1.92
94,11,VfB Stuttgart,0,1,Arminia Bielefeld,1.76,3.79,4.24
95,11,RB Leipzig,2,1,Borussia Dortmund,2.11,3.74,3.07
96,11,Hertha Berlin,1,1,Bayer Leverkusen,3.69,3.67,1.91
97,11,FC Koln,2,2,Union Berlin,2.21,3.42,3.09
98,11,Greuther Furth,1,2,Eintracht Frankfurt,3.73,3.69,1.89
99,12,Augsburg,2,1,Bayern Munchen,12.32,7.27,1.19
100,12,Borussia Dortmund,2,1,VfB Stuttgart,1.36,5.10,7.29
101,12,TSG Hoffenheim,2,0,RB Leipzig,3.70,3.93,1.86
102,12,Bayer Leverkusen,1,0,VfL Bochum,1.35,5.01,7.96
103,12,Borussia Monchengladbach,4,0,Greuther Furth,1.29,5.50,9.41
104,12,Arminia Bielefeld,2,2,VfL Wolfsburg,3.85,3.51,1.90
105,12,Union Berlin,2,0,Hertha Berlin,2.00,3.43,3.55
106,12,SC Freiburg,0,2,Eintracht Frankfurt,2.01,3.58,3.40
107,12,FSV Mainz 05,1,1,FC Koln,2.08,3.55,3.25
108,13,VfB Stuttgart,2,1,FSV Mainz 05,2.80,3.38,2.41
109,13,Hertha Berlin,1,1,Augsburg,2.04,3.35,3.54
110,13,FC Koln,4,1,Borussia Monchengladbach,2.79,3.50,2.34
111,13,Greuther Furth,3,6,TSG Hoffenheim,4.38,4.07,1.69
112,13,VfL Wolfsburg,1,3,Borussia Dortmund,2.85,3.59,2.25
113,13,VfL Bochum,2,1,SC Freiburg,3.19,3.34,2.20
114,13,Bayern Munchen,1,0,Arminia Bielefeld,1.07,11.27,27.54
115,13,Eintracht Frankfurt,2,1,Union Berlin,2.22,3.43,3.10
116,13,RB Leipzig,1,3,Bayer Leverkusen,1.74,3.96,4.25
117,14,Union Berlin,2,1,RB Leipzig,3.96,3.62,1.85
118,14,Arminia Bielefeld,1,1,FC Koln,3.15,3.46,2.19
119,14,Augsburg,2,3,VfL Bochum,2.18,3.38,3.17
120,14,Bayer Leverkusen,7,1,Greuther Furth,1.27,5.75,9.83
121,14,FSV Mainz 05,3,0,VfL Wolfsburg,2.51,3.28,2.73
122,14,TSG Hoffenheim,3,2,Eintracht Frankfurt,2.00,3.71,3.37
123,14,Borussia Dortmund,2,3,Bayern Munchen,3.65,4.12,1.81
124,14,VfB Stuttgart,2,2,Hertha Berlin,2.18,3.38,3.17
125,14,Borussia Monchengladbach,0,6,SC Freiburg,1.89,3.64,3.83
126,15,FC Koln,0,2,Augsburg,1.67,3.88,4.76
127,15,Hertha Berlin,2,0,Arminia Bielefeld,1.90,3.47,3.99
128,15,RB Leipzig,4,1,Borussia Monchengladbach,1.74,3.89,4.23
129,15,SC Freiburg,1,2,TSG Hoffenheim,2.33,3.55,2.82
130,15,Bayern Munchen,2,1,FSV Mainz 05,1.20,7.06,11.69
131,15,VfL Bochum,1,1,Borussia Dortmund,5.70,4.57,1.49
132,15,VfL Wolfsburg,0,2,VfB Stuttgart,1.69,3.84,4.69
133,15,Greuther Furth,1,0,Union Berlin,4.37,3.81,1.75
134,15,Eintracht Frankfurt,5,2,Bayer Leverkusen,2.96,3.56,2.22
135,16,VfB Stuttgart,0,5,Bayern Munchen,8.91,6.22,1.26
136,16,VfL Wolfsburg,2,3,FC Koln,1.88,3.63,3.86
137,16,Arminia Bielefeld,2,0,VfL Bochum,2.28,3.35,3.01
138,16,FSV Mainz 05,4,0,Hertha Berlin,1.86,3.54,4.10
139,16,Borussia Monchengladbach,2,3,Eintracht Frankfurt,1.88,3.67,3.82
140,16,Borussia Dortmund,3,0,Greuther Furth,1.10,9.39,22.08
141,16,Bayer Leverkusen,2,2,TSG Hoffenheim,1.80,3.88,3.92
142,16,Union Berlin,0,0,SC Freiburg,2.22,3.37,3.10
143,16,Augsburg,1,1,RB Leipzig,5.32,4.18,1.56
144,17,Bayern Munchen,4,0,VfL Wolfsburg,1.22,6.77,11.04
145,17,RB Leipzig,0,2,Arminia Bielefeld,1.22,6.05,12.93
146,17,Greuther Furth,0,0,Augsburg,3.00,3.47,2.25
