,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,3,0,Borussia Monchengladbach,1.33,4.40,8.69
1,1,Werder Bremen,5,2,Arminia Bielefeld,1.39,4.01,7.65
2,1,VfL Wolfsburg,2,2,Borussia Dortmund,2.46,3.22,2.61
3,1,Hamburger SV,3,0,Nurnberg,1.53,3.68,5.78
4,1,Hannover 96,2,2,Hertha Berlin,2.56,3.19,2.53
5,1,MSV Duisburg,1,1,VfB Stuttgart,2.96,3.22,2.23
6,1,FC Koln,1,0,FSV Mainz 05,2.00,3.26,3.43
7,1,Eintracht Frankfurt,1,4,Bayer Leverkusen,2.77,3.23,2.32
8,1,Schalke 04,2,1,Kaiserslautern,1.52,3.69,6.04
9,2,Borussia Monchengladbach,1,1,VfL Wolfsburg,2.05,3.26,3.30
10,2,Hertha Berlin,2,0,Eintracht Frankfurt,1.41,3.98,7.48
11,2,Kaiserslautern,5,3,MSV Duisburg,1.74,3.42,4.30
12,2,Bayer Leverkusen,2,5,Bayern Munchen,2.95,3.24,2.22
13,2,Nurnberg,1,1,Hannover 96,2.21,3.29,2.91
14,2,Arminia Bielefeld,0,2,Hamburger SV,3.02,3.28,2.17
15,2,Borussia Dortmund,1,2,Schalke 04,2.54,3.19,2.57
16,2,VfB Stuttgart,2,3,FC Koln,1.50,3.70,6.17
17,2,FSV Mainz 05,0,2,Werder Bremen,3.05,3.31,2.13
18,3,Bayern Munchen,3,0,Hertha Berlin,1.42,4.00,7.21
19,3,Eintracht Frankfurt,1,0,Nurnberg,2.09,3.26,3.19
20,3,Hamburger SV,1,1,Hannover 96,1.55,3.65,5.72
21,3,Schalke 04,1,1,Borussia Monchengladbach,1.36,4.21,8.14
22,3,Werder Bremen,1,1,VfB Stuttgart,1.77,3.37,4.18
23,3,VfL Wolfsburg,2,1,Bayer Leverkusen,2.47,3.25,2.60
24,3,FC Koln,2,3,Kaiserslautern,2.00,3.29,3.42
25,3,MSV Duisburg,1,1,Borussia Dortmund,2.76,3.24,2.34
26,3,Arminia Bielefeld,2,0,FSV Mainz 05,2.11,3.25,3.17
27,4,Kaiserslautern,1,5,Werder Bremen,2.80,3.26,2.25
28,4,Bayer Leverkusen,1,1,Schalke 04,2.40,3.24,2.62
29,4,Nurnberg,1,2,Bayern Munchen,5.83,3.74,1.51
30,4,VfB Stuttgart,1,1,Arminia Bielefeld,1.46,3.72,6.43
31,4,FSV Mainz 05,1,3,Hamburger SV,3.22,3.25,2.04
32,4,Borussia Monchengladbach,2,1,MSV Duisburg,1.73,3.39,4.20
33,4,Hannover 96,2,0,Eintracht Frankfurt,1.78,3.34,4.04
34,4,Borussia Dortmund,2,1,FC Koln,1.66,3.46,4.72
35,4,Hertha Berlin,3,0,VfL Wolfsburg,1.67,3.42,4.68
36,5,Werder Bremen,3,2,Borussia Dortmund,1.64,3.48,4.83
37,5,VfL Wolfsburg,1,1,Nurnberg,1.65,3.46,4.87
38,5,FC Koln,2,1,Borussia Monchengladbach,2.14,3.23,3.13
