,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,3,1,TSG Hoffenheim,1.28,5.59,8.84
1,1,Werder Bremen,1,1,Hannover 96,2.05,3.43,3.35
2,1,VfL Wolfsburg,2,1,Schalke 04,2.84,3.28,2.36
3,1,Fortuna Dusseldorf,1,2,Augsburg,2.34,3.24,2.91
4,1,SC Freiburg,0,2,Eintracht Frankfurt,2.43,3.20,2.83
5,1,Hertha Berlin,1,0,Nurnberg,2.07,3.31,3.42
6,1,Borussia Monchengladbach,2,0,Bayer Leverkusen,2.73,3.41,2.39
7,1,FSV Mainz 05,1,0,VfB Stuttgart,2.66,3.22,2.53
8,1,Borussia Dortmund,4,1,RB Leipzig,1.73,3.84,4.21
9,2,Hannover 96,0,0,Borussia Dortmund,4.80,4.00,1.61
10,2,TSG Hoffenheim,3,1,SC Freiburg,1.58,3.94,5.14
11,2,Nurnberg,1,1,FSV Mainz 05,2.23,3.28,3.06
12,2,Augsburg,1,1,Borussia Monchengladbach,2.48,3.34,2.64
13,2,Bayer Leverkusen,1,3,VfL Wolfsburg,1.63,3.87,4.86
14,2,Eintracht Frankfurt,1,2,Werder Bremen,2.22,3.33,3.05
15,2,VfB Stuttgart,0,3,Bayern Munchen,7.47,4.99,1.35
16,2,RB Leipzig,1,1,Fortuna Dusseldorf,1.45,4.33,6.51
17,2,Schalke 04,0,2,Hertha Berlin,1.70,3.55,4.79
18,3,Borussia Dortmund,3,1,Eintracht Frankfurt,1.43,4.53,6.48
19,3,Bayern Munchen,3,1,Bayer Leverkusen,1.23,6.19,10.55
20,3,VfL Wolfsburg,2,2,Hertha Berlin,2.07,3.26,3.49
21,3,FSV Mainz 05,2,1,Augsburg,2.40,3.24,2.84
22,3,RB Leipzig,3,2,Hannover 96,1.49,4.18,5.99
23,3,Fortuna Dusseldorf,2,1,TSG Hoffenheim,3.20,3.50,2.13
24,3,Borussia Monchengladbach,2,1,Schalke 04,2.39,3.37,2.79
25,3,Werder Bremen,1,1,Nurnberg,1.77,3.69,4.31
26,3,SC Freiburg,3,3,VfB Stuttgart,2.50,3.18,2.72
27,5,Werder Bremen,3,1,Hertha Berlin,1.97,3.41,3.59
28,5,SC Freiburg,1,0,Schalke 04,3.26,3.24,2.15
29,5,Hannover 96,1,3,TSG Hoffenheim,3.03,3.46,2.19
30,5,Bayern Munchen,1,1,Augsburg,1.10,9.02,21.04
31,5,Fortuna Dusseldorf,1,2,Bayer Leverkusen,3.66,3.53,1.91
32,5,Borussia Dortmund,7,0,Nurnberg,1.27,5.39,9.75
33,5,Borussia Monchengladbach,3,1,Eintracht Frankfurt,1.79,3.66,4.11
34,5,FSV Mainz 05,0,0,VfL Wolfsburg,2.67,3.22,2.53
35,5,RB Leipzig,2,0,VfB Stuttgart,1.67,3.86,4.67
36,6,Hertha Berlin,2,0,Bayern Munchen,9.46,5.56,1.27
37,6,TSG Hoffenheim,1,2,RB Leipzig,2.15,3.56,3.01
38,6,Nurnberg,3,0,Fortuna Dusseldorf,2.02,3.37,3.49
39,6,Schalke 04,1,0,FSV Mainz 05,1.72,3.58,4.59
40,6,VfB Stuttgart,2,1,Werder Bremen,2.36,3.26,2.89
41,6,VfL Wolfsburg,2,2,Borussia Monchengladbach,2.35,3.36,2.80
42,6,Bayer Leverkusen,2,4,Borussia Dortmund,2.50,3.45,2.58
43,6,Eintracht Frankfurt,4,1,Hannover 96,2.03,3.40,3.44
44,6,Augsburg,4,1,SC Freiburg,2.01,3.36,3.53
45,7,Werder Bremen,2,0,VfL Wolfsburg,2.00,3.46,3.46
