,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,2,0,Borussia Dortmund,1.48,3.73,6.24
1,1,FSV Mainz 05,2,1,VfL Bochum,1.95,3.25,3.55
2,1,Borussia Monchengladbach,2,0,Energie Cottbus,1.58,3.53,5.28
3,1,Hamburger SV,1,1,Arminia Bielefeld,1.40,4.01,7.02
4,1,Bayer Leverkusen,3,0,Alemannia Aachen,1.45,3.88,6.43
5,1,Schalke 04,1,1,Eintracht Frankfurt,1.47,3.77,6.23
6,1,VfB Stuttgart,0,3,Nurnberg,1.87,3.21,3.85
7,1,Hannover 96,2,4,Werder Bremen,3.48,3.31,1.97
8,1,VfL Wolfsburg,0,0,Hertha Berlin,2.46,3.16,2.61
9,2,Nurnberg,1,0,Borussia Monchengladbach,1.85,3.31,3.90
10,2,Werder Bremen,2,1,Bayer Leverkusen,1.65,3.53,4.82
11,2,Borussia Dortmund,1,1,FSV Mainz 05,1.58,3.61,5.25
12,2,Eintracht Frankfurt,0,0,VfL Wolfsburg,2.01,3.25,3.42
13,2,Energie Cottbus,2,2,Hamburger SV,3.61,3.30,1.93
14,2,Hertha Berlin,4,0,Hannover 96,1.77,3.34,4.27
15,2,Alemannia Aachen,0,1,Schalke 04,3.84,3.34,1.86
16,2,Arminia Bielefeld,2,3,VfB Stuttgart,2.40,3.22,2.71
17,2,VfL Bochum,1,2,Bayern Munchen,5.17,3.58,1.60
18,3,Schalke 04,2,0,Werder Bremen,2.43,3.20,2.64
19,3,Hannover 96,0,3,Alemannia Aachen,1.72,3.37,4.30
20,3,VfB Stuttgart,1,3,Borussia Dortmund,2.23,3.20,2.92
21,3,VfL Bochum,0,1,Energie Cottbus,1.84,3.28,3.81
22,3,Borussia Monchengladbach,1,0,Arminia Bielefeld,1.72,3.36,4.33
23,3,Bayern Munchen,0,0,Nurnberg,1.34,4.31,7.81
24,3,Bayer Leverkusen,1,1,VfL Wolfsburg,1.50,3.71,5.74
25,3,FSV Mainz 05,1,1,Eintracht Frankfurt,2.09,3.17,3.22
26,3,Hamburger SV,1,1,Hertha Berlin,1.83,3.25,3.90
27,4,VfL Wolfsburg,1,2,Hannover 96,1.85,3.27,3.93
28,4,Energie Cottbus,2,0,FSV Mainz 05,2.24,3.18,2.91
29,4,Nurnberg,1,1,VfL Bochum,1.61,3.51,5.13
30,4,Werder Bremen,2,3,VfB Stuttgart,1.53,3.64,5.73
31,4,Alemannia Aachen,4,2,Borussia Monchengladbach,2.43,3.16,2.68
32,4,Arminia Bielefeld,2,1,Bayern Munchen,5.37,3.53,1.58
33,4,Borussia Dortmund,1,0,Hamburger SV,2.23,3.19,2.89
34,4,Hertha Berlin,2,0,Schalke 04,2.45,3.16,2.62
35,4,Eintracht Frankfurt,3,1,Bayer Leverkusen,2.68,3.20,2.38
36,5,Borussia Monchengladbach,1,0,Borussia Dortmund,2.35,3.15,2.68
37,5,Hamburger SV,1,1,Werder Bremen,2.46,3.16,2.56
38,5,Hannover 96,1,1,Bayer Leverkusen,2.54,3.18,2.45
39,5,Schalke 04,2,0,VfL Wolfsburg,1.43,3.78,6.58
40,5,VfB Stuttgart,1,1,Eintracht Frankfurt,1.82,3.26,3.87
41,5,FSV Mainz 05,1,1,Hertha Berlin,2.42,3.16,2.60
42,5,Bayern Munchen,2,1,Alemannia Aachen,1.21,5.30,10.76
43,5,Energie Cottbus,1,1,Nurnberg,2.36,3.17,2.62
44,5,VfL Bochum,2,1,Arminia Bielefeld,2.05,3.23,3.21
45,6,Borussia Dortmund,2,2,Hannover 96,1.59,3.47,5.02
46,6,Nurnberg,1,1,FSV Mainz 05,1.67,3.33,4.65
47,6,Werder Bremen,3,0,Borussia Monchengladbach,1.44,3.76,6.49
48,6,VfL Wolfsburg,1,0,Bayern Munchen,5.06,3.43,1.61
49,6,Eintracht Frankfurt,2,2,Hamburger SV,2.49,3.13,2.54
50,6,Alemannia Aachen,2,1,VfL Bochum,1.94,3.21,3.52
51,6,Arminia Bielefeld,3,1,Energie Cottbus,1.98,3.18,3.41
52,6,Hertha Berlin,2,2,VfB Stuttgart,2.02,3.21,3.39
53,6,Bayer Leverkusen,3,1,Schalke 04,2.38,3.17,2.71
54,7,FSV Mainz 05,1,3,Alemannia Aachen,1.96,3.20,3.44
55,7,VfB Stuttgart,3,0,Bayer Leverkusen,2.25,3.18,2.85
56,7,VfL Bochum,0,6,Werder Bremen,4.15,3.32,1.76
57,7,Borussia Monchengladbach,3,1,VfL Wolfsburg,1.79,3.25,4.16
58,7,Hamburger SV,1,2,Schalke 04,2.33,3.15,2.76
59,7,Hannover 96,1,1,Eintracht Frankfurt,2.08,3.15,3.17
60,7,Bayern Munchen,4,2,Hertha Berlin,1.45,3.74,6.42
61,7,Energie Cottbus,2,3,Borussia Dortmund,2.71,3.12,2.34
62,7,Nurnberg,1,1,Arminia Bielefeld,1.68,3.30,4.49
63,8,Borussia Dortmund,1,1,VfL Bochum,1.46,3.73,6.39
64,8,Schalke 04,2,1,Hannover 96,1.48,3.72,6.14
65,8,Werder Bremen,3,1,Bayern Munchen,2.36,3.16,2.71
66,8,VfL Wolfsburg,1,1,VfB Stuttgart,2.48,3.16,2.58
67,8,Hertha Berlin,2,1,Borussia Monchengladbach,1.67,3.37,4.60
68,8,Alemannia Aachen,1,2,Energie Cottbus,1.79,3.31,4.07
69,8,Arminia Bielefeld,1,0,FSV Mainz 05,2.06,3.20,3.23
70,8,Eintracht Frankfurt,2,2,Nurnberg,2.16,3.12,3.15
71,8,Bayer Leverkusen,1,2,Hamburger SV,2.06,3.20,3.27
