,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
123,14,VfB Stuttgart,0,1,RB Leipzig,3.95,3.80,1.81
124,14,Borussia Dortmund,2,0,VfL Wolfsburg,1.58,4.14,5.14
125,14,Bayern Munchen,5,2,FSV Mainz 05,1.12,8.56,17.63
126,15,Borussia Monchengladbach,3,2,Bayern Munchen,4.43,4.33,1.64
127,15,Schalke 04,4,0,TSG Hoffenheim,3.64,3.63,1.93
128,15,Union Berlin,2,2,VfL Wolfsburg,2.61,3.28,2.65
129,15,SC Freiburg,5,0,FC Koln,1.95,3.51,3.70
130,15,FSV Mainz 05,0,2,Eintracht Frankfurt,3.19,3.73,2.07
131,15,Bayer Leverkusen,1,1,Werder Bremen,1.42,4.64,6.83
132,15,RB Leipzig,1,3,Borussia Dortmund,2.20,3.50,3.05
133,15,Augsburg,1,4,VfB Stuttgart,3.16,3.54,2.15
134,15,Arminia Bielefeld,1,0,Hertha Berlin,3.52,3.43,2.06
135,16,Union Berlin,1,0,Bayer Leverkusen,3.70,3.43,1.97
136,16,Werder Bremen,2,0,Augsburg,2.25,3.28,3.13
137,16,VfL Wolfsburg,2,2,RB Leipzig,3.48,3.55,1.99
138,16,Borussia Dortmund,1,1,FSV Mainz 05,1.24,6.23,10.62
139,16,FC Koln,0,0,Hertha Berlin,3.11,3.33,2.28
140,16,TSG Hoffenheim,0,0,Arminia Bielefeld,1.58,4.18,5.12
141,16,VfB Stuttgart,2,2,Borussia Monchengladbach,2.78,3.64,2.33
142,16,Bayern Munchen,2,1,SC Freiburg,1.19,7.22,12.03
143,16,Eintracht Frankfurt,3,1,Schalke 04,1.51,4.33,5.85
144,17,Borussia Monchengladbach,1,0,Werder Bremen,1.55,4.20,5.42
145,17,Bayer Leverkusen,2,1,Borussia Dortmund,2.99,3.72,2.16
146,17,Hertha Berlin,0,3,TSG Hoffenheim,2.41,3.29,2.87
147,17,FSV Mainz 05,0,2,VfL Wolfsburg,3.82,3.70,1.86
148,17,Schalke 04,1,2,FC Koln,2.59,3.20,2.70
149,17,SC Freiburg,2,2,Eintracht Frankfurt,2.51,3.35,2.70
150,17,Arminia Bielefeld,3,0,VfB Stuttgart,4.06,3.78,1.79
151,17,Augsburg,0,1,Bayern Munchen,11.29,6.62,1.21
152,17,RB Leipzig,1,0,Union Berlin,1.48,4.19,6.52
0,19,VfB Stuttgart,2,0,FSV Mainz 05,1.63,4.04,4.73
1,19,Union Berlin,1,1,Borussia Monchengladbach,2.85,3.54,2.32
2,19,Werder Bremen,1,1,Schalke 04,1.99,3.57,3.53
3,19,Bayern Munchen,4,1,TSG Hoffenheim,1.19,7.25,12.00
4,19,Borussia Dortmund,3,1,Augsburg,1.25,5.92,10.20
5,19,Eintracht Frankfurt,3,1,Hertha Berlin,1.90,3.79,3.63
6,19,RB Leipzig,1,0,Bayer Leverkusen,1.84,3.78,3.88
7,19,FC Koln,3,1,Arminia Bielefeld,2.09,3.34,3.50
8,19,VfL Wolfsburg,3,0,SC Freiburg,1.97,3.61,3.55
9,20,Hertha Berlin,0,1,Bayern Munchen,8.65,6.08,1.28
10,20,SC Freiburg,2,1,Borussia Dortmund,5.10,4.10,1.58
11,20,FSV Mainz 05,1,0,Union Berlin,3.11,3.39,2.20
12,20,Schalke 04,0,3,RB Leipzig,7.22,4.74,1.39
13,20,Augsburg,0,2,VfL Wolfsburg,4.00,3.47,1.87
14,20,Bayer Leverkusen,5,2,VfB Stuttgart,1.83,3.97,3.72
15,20,Borussia Monchengladbach,1,2,FC Koln,1.51,4.25,5.77
16,20,TSG Hoffenheim,1,3,Eintracht Frankfurt,2.69,3.62,2.36
17,20,Arminia Bielefeld,0,2,Werder Bremen,2.87,3.20,2.44
18,21,RB Leipzig,2,1,Augsburg,1.24,5.95,11.54
19,21,Werder Bremen,0,0,SC Freiburg,2.58,3.28,2.66
20,21,VfB Stuttgart,1,1,Hertha Berlin,2.02,3.65,3.34
21,21,Borussia Dortmund,2,2,TSG Hoffenheim,1.49,4.50,5.73
22,21,Bayer Leverkusen,2,2,FSV Mainz 05,1.38,4.94,7.06
23,21,Union Berlin,0,0,Schalke 04,1.76,3.62,4.41
24,21,Eintracht Frankfurt,2,0,FC Koln,1.58,4.08,5.33
25,21,VfL Wolfsburg,0,0,Borussia Monchengladbach,2.46,3.40,2.72
26,21,Bayern Munchen,3,3,Arminia Bielefeld,1.11,9.28,19.07
27,22,Arminia Bielefeld,0,3,VfL Wolfsburg,4.67,3.72,1.72
28,22,Borussia Monchengladbach,1,2,FSV Mainz 05,1.53,4.19,5.65
29,22,Eintracht Frankfurt,2,1,Bayern Munchen,4.90,4.71,1.56
30,22,FC Koln,0,1,VfB Stuttgart,3.07,3.53,2.19
31,22,SC Freiburg,0,1,Union Berlin,2.27,3.32,3.08
32,22,Schalke 04,0,4,Borussia Dortmund,8.35,5.15,1.32
33,22,Augsburg,1,1,Bayer Leverkusen,4.79,3.99,1.65
34,22,Hertha Berlin,0,3,RB Leipzig,4.52,3.88,1.70
35,22,TSG Hoffenheim,4,0,Werder Bremen,2.03,3.58,3.36
36,23,Werder Bremen,2,1,Eintracht Frankfurt,3.64,3.68,1.91
37,23,VfB Stuttgart,5,1,Schalke 04,1.53,4.27,5.58
38,23,Bayern Munchen,5,1,FC Koln,1.15,7.86,14.74
39,23,Borussia Dortmund,3,0,Arminia Bielefeld,1.20,6.33,12.50
40,23,VfL Wolfsburg,2,0,Hertha Berlin,1.78,3.70,4.23
41,23,RB Leipzig,3,2,Borussia Monchengladbach,1.73,3.90,4.27
42,23,Union Berlin,1,1,TSG Hoffenheim,2.42,3.37,2.77
43,23,FSV Mainz 05,0,1,Augsburg,2.19,3.44,3.13
44,23,Bayer Leverkusen,1,2,SC Freiburg,1.71,3.83,4.49
45,24,Schalke 04,0,0,FSV Mainz 05,3.01,3.29,2.31
46,24,Borussia Monchengladbach,0,1,Bayer Leverkusen,2.49,3.50,2.62
