,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,VfB Stuttgart,2,2,Schalke 04,2.24,3.17,2.99
1,1,VfL Wolfsburg,1,3,Arminia Bielefeld,1.88,3.26,3.83
2,1,Bayern Munchen,3,0,Hansa Rostock,1.18,5.72,12.28
3,1,VfL Bochum,2,2,Werder Bremen,3.39,3.25,2.00
4,1,Eintracht Frankfurt,1,0,Hertha Berlin,2.34,3.17,2.78
5,1,Hannover 96,0,1,Hamburger SV,2.55,3.13,2.57
6,1,Bayer Leverkusen,0,0,Energie Cottbus,1.54,3.69,5.57
7,1,Borussia Dortmund,1,3,MSV Duisburg,1.55,3.60,5.42
8,1,Nurnberg,0,2,Karlsruher SC,1.78,3.31,4.12
9,2,Karlsruher SC,1,2,Hannover 96,2.32,3.19,2.79
10,2,Hansa Rostock,1,2,Nurnberg,2.57,3.14,2.53
11,2,Hertha Berlin,3,1,VfB Stuttgart,2.82,3.17,2.32
12,2,Schalke 04,4,1,Borussia Dortmund,1.77,3.31,4.33
13,2,Werder Bremen,0,4,Bayern Munchen,3.30,3.24,2.05
14,2,Arminia Bielefeld,2,2,Eintracht Frankfurt,2.13,3.19,3.14
15,2,MSV Duisburg,1,3,VfL Wolfsburg,2.36,3.18,2.76
16,2,Energie Cottbus,1,2,VfL Bochum,2.25,3.18,2.89
17,2,Hamburger SV,1,0,Bayer Leverkusen,2.02,3.21,3.40
18,3,VfL Bochum,2,1,Hamburger SV,2.88,3.18,2.29
19,3,Bayer Leverkusen,3,0,Karlsruher SC,1.58,3.58,5.43
20,3,Nurnberg,0,1,Werder Bremen,2.56,3.20,2.53
21,3,VfB Stuttgart,1,0,MSV Duisburg,1.44,3.86,6.77
22,3,Borussia Dortmund,3,0,Energie Cottbus,1.61,3.51,5.12
23,3,Bayern Munchen,3,0,Hannover 96,1.20,5.57,12.10
24,3,Arminia Bielefeld,2,0,Hertha Berlin,2.32,3.18,2.83
25,3,Eintracht Frankfurt,1,0,Hansa Rostock,1.70,3.42,4.69
26,3,VfL Wolfsburg,1,1,Schalke 04,3.26,3.22,2.09
27,4,Schalke 04,1,1,Bayer Leverkusen,1.71,3.39,4.49
28,4,Hannover 96,3,2,VfL Bochum,2.03,3.23,3.35
29,4,Hansa Rostock,0,1,Borussia Dortmund,2.95,3.21,2.26
30,4,Hertha Berlin,2,1,VfL Wolfsburg,2.09,3.21,3.20
31,4,Energie Cottbus,1,1,Nurnberg,2.64,3.16,2.47
32,4,MSV Duisburg,3,0,Arminia Bielefeld,2.35,3.19,2.80
33,4,Werder Bremen,2,1,Eintracht Frankfurt,1.56,3.62,5.53
34,4,Karlsruher SC,1,0,VfB Stuttgart,3.36,3.22,2.04
35,4,Hamburger SV,1,1,Bayern Munchen,4.00,3.32,1.85
36,5,Borussia Dortmund,3,0,Werder Bremen,2.48,3.18,2.62
37,5,Eintracht Frankfurt,2,1,Hamburger SV,2.58,3.18,2.54
38,5,Bayer Leverkusen,2,0,VfL Bochum,1.63,3.52,4.99
39,5,Nurnberg,2,2,Hannover 96,2.11,3.21,3.24
40,5,VfB Stuttgart,3,0,Energie Cottbus,1.38,4.15,7.46
41,5,Bayern Munchen,1,1,Schalke 04,1.56,3.59,5.59
42,5,Arminia Bielefeld,4,2,Hansa Rostock,1.72,3.38,4.52
43,5,MSV Duisburg,1,2,Hertha Berlin,2.53,3.18,2.59
44,5,VfL Wolfsburg,1,2,Karlsruher SC,1.83,3.29,4.08
45,6,VfL Bochum,0,0,Eintracht Frankfurt,2.20,3.21,3.03
46,6,Hansa Rostock,2,0,MSV Duisburg,2.34,3.18,2.83
47,6,Hertha Berlin,3,2,Borussia Dortmund,2.32,3.20,2.84
48,6,Schalke 04,3,0,Arminia Bielefeld,1.45,3.93,6.73
49,6,Werder Bremen,4,1,VfB Stuttgart,2.04,3.24,3.33
50,6,Energie Cottbus,1,2,VfL Wolfsburg,2.54,3.16,2.59
51,6,Hamburger SV,1,0,Nurnberg,1.65,3.45,4.98
52,6,Karlsruher SC,1,4,Bayern Munchen,6.23,3.80,1.49
53,6,Hannover 96,0,3,Bayer Leverkusen,2.43,3.20,2.70
54,7,VfL Wolfsburg,1,1,Werder Bremen,3.07,3.25,2.15
55,7,Hertha Berlin,1,3,Hansa Rostock,1.44,3.83,6.87
56,7,Borussia Dortmund,0,3,Hamburger SV,2.18,3.19,3.06
57,7,MSV Duisburg,0,2,Schalke 04,4.45,3.36,1.73
58,7,Bayern Munchen,5,0,Energie Cottbus,1.13,7.04,16.43
59,7,Arminia Bielefeld,0,2,Hannover 96,2.14,3.22,3.11
60,7,Eintracht Frankfurt,0,1,Karlsruher SC,1.73,3.37,4.50
61,7,Nurnberg,1,2,Bayer Leverkusen,2.48,3.17,2.60
62,7,VfB Stuttgart,1,0,VfL Bochum,1.53,3.66,5.81
63,8,Schalke 04,1,0,Hertha Berlin,1.60,3.53,5.24
64,8,Hamburger SV,2,2,VfL Wolfsburg,1.62,3.51,5.10
65,8,Hansa Rostock,2,1,VfB Stuttgart,3.41,3.26,2.01
66,8,Karlsruher SC,3,1,Borussia Dortmund,2.65,3.20,2.46
67,8,Bayer Leverkusen,0,1,Bayern Munchen,4.12,3.35,1.81
68,8,Werder Bremen,8,1,Arminia Bielefeld,1.46,3.90,6.55
69,8,VfL Bochum,3,3,Nurnberg,2.25,3.19,2.94
70,8,Hannover 96,2,1,MSV Duisburg,1.71,3.41,4.56
71,8,Energie Cottbus,2,2,Eintracht Frankfurt,2.64,3.18,2.47
72,9,Borussia Dortmund,2,1,VfL Bochum,1.71,3.40,4.50
73,9,Hertha Berlin,0,0,Energie Cottbus,1.41,4.08,7.17
74,9,Schalke 04,0,2,Karlsruher SC,1.41,4.04,7.12
75,9,VfB Stuttgart,0,2,Hannover 96,1.70,3.41,4.61
76,9,VfL Wolfsburg,1,0,Hansa Rostock,1.74,3.40,4.38
77,9,MSV Duisburg,1,3,Werder Bremen,4.78,3.44,1.68
