,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,5,0,Hamburger SV,1.10,8.56,23.59
1,1,Bayer Leverkusen,2,1,TSG Hoffenheim,1.47,4.28,6.15
2,1,Darmstadt,2,2,Hannover 96,2.68,3.22,2.55
3,1,Werder Bremen,0,3,Schalke 04,2.81,3.34,2.36
4,1,FSV Mainz 05,0,1,Ingolstadt,1.85,3.49,4.07
5,1,Augsburg,0,1,Hertha Berlin,1.91,3.33,3.90
6,1,Borussia Dortmund,4,0,Borussia Monchengladbach,1.75,3.58,4.29
7,1,VfL Wolfsburg,2,1,Eintracht Frankfurt,1.44,4.38,6.07
8,1,VfB Stuttgart,1,3,FC Koln,2.01,3.28,3.58
9,2,Hertha Berlin,1,1,Werder Bremen,2.08,3.32,3.40
10,2,Hannover 96,0,1,Bayer Leverkusen,4.22,3.57,1.79
11,2,Eintracht Frankfurt,1,1,Augsburg,2.20,3.37,3.07
12,2,FC Koln,1,1,VfL Wolfsburg,4.07,3.57,1.82
13,2,Schalke 04,1,1,Darmstadt,1.43,4.35,6.81
14,2,TSG Hoffenheim,1,2,Bayern Munchen,8.33,5.25,1.32
15,2,Hamburger SV,3,2,VfB Stuttgart,2.63,3.28,2.60
16,2,Ingolstadt,0,4,Borussia Dortmund,6.72,4.25,1.45
17,2,Borussia Monchengladbach,1,2,FSV Mainz 05,1.66,3.69,4.90
18,3,VfL Wolfsburg,3,0,Schalke 04,1.85,3.62,3.95
19,3,Darmstadt,0,0,TSG Hoffenheim,2.76,3.28,2.49
20,3,Augsburg,0,1,Ingolstadt,1.87,3.38,4.13
21,3,FC Koln,2,1,Hamburger SV,1.85,3.52,4.08
22,3,FSV Mainz 05,3,0,Hannover 96,1.97,3.43,3.65
23,3,VfB Stuttgart,1,4,Eintracht Frankfurt,1.95,3.53,3.67
24,3,Bayern Munchen,3,0,Bayer Leverkusen,1.29,5.26,8.99
25,3,Borussia Dortmund,3,1,Hertha Berlin,1.22,6.02,12.73
26,3,Werder Bremen,2,1,Borussia Monchengladbach,3.32,3.41,2.10
