,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,2,2,Hamburger SV,1.58,3.56,5.51
1,1,Energie Cottbus,0,3,TSG Hoffenheim,2.41,3.19,2.71
2,1,Schalke 04,3,0,Hannover 96,1.57,3.61,5.45
3,1,VfL Wolfsburg,2,1,FC Koln,1.58,3.57,5.40
4,1,Bayer Leverkusen,2,3,Borussia Dortmund,1.99,3.27,3.49
5,1,Karlsruher SC,1,0,VfL Bochum,2.14,3.19,3.13
6,1,Arminia Bielefeld,2,2,Werder Bremen,4.04,3.34,1.81
7,1,Eintracht Frankfurt,0,2,Hertha Berlin,2.24,3.20,2.95
8,1,Borussia Monchengladbach,1,3,VfB Stuttgart,2.65,3.20,2.45
9,2,Hannover 96,0,0,Energie Cottbus,1.61,3.54,5.24
10,2,TSG Hoffenheim,1,0,Borussia Monchengladbach,1.94,3.27,3.67
11,2,Hertha Berlin,1,1,Arminia Bielefeld,1.65,3.50,4.97
12,2,Borussia Dortmund,1,1,Bayern Munchen,3.25,3.25,2.09
13,2,Werder Bremen,1,1,Schalke 04,2.00,3.29,3.46
14,2,Hamburger SV,2,1,Karlsruher SC,1.42,4.00,7.13
15,2,VfB Stuttgart,0,2,Bayer Leverkusen,1.94,3.29,3.62
16,2,VfL Bochum,2,2,VfL Wolfsburg,2.84,3.21,2.32
17,2,FC Koln,1,1,Eintracht Frankfurt,2.23,3.21,3.01
18,3,Karlsruher SC,0,2,FC Koln,2.04,3.24,3.44
19,3,Energie Cottbus,0,1,Borussia Dortmund,3.29,3.23,2.09
20,3,Arminia Bielefeld,2,4,Hamburger SV,3.52,3.24,2.00
21,3,Borussia Monchengladbach,3,2,Werder Bremen,3.96,3.34,1.84
22,3,Bayer Leverkusen,5,2,TSG Hoffenheim,1.78,3.39,4.24
23,3,Schalke 04,1,0,VfL Bochum,1.40,4.05,7.47
24,3,VfL Wolfsburg,2,2,Eintracht Frankfurt,1.64,3.53,4.99
25,3,VfB Stuttgart,2,0,Hannover 96,1.72,3.45,4.49
26,3,Bayern Munchen,4,1,Hertha Berlin,1.41,4.10,7.38
27,4,Borussia Dortmund,3,3,Schalke 04,2.53,3.18,2.62
28,4,FC Koln,0,3,Bayern Munchen,5.27,3.55,1.62
29,4,TSG Hoffenheim,0,0,VfB Stuttgart,2.83,3.22,2.35
30,4,Hertha Berlin,2,2,VfL Wolfsburg,2.28,3.23,2.91
31,4,Werder Bremen,3,0,Energie Cottbus,1.27,5.06,9.90
32,4,Hamburger SV,3,2,Bayer Leverkusen,2.03,3.26,3.44
33,4,VfL Bochum,2,0,Arminia Bielefeld,1.93,3.29,3.78
34,4,Hannover 96,5,1,Borussia Monchengladbach,1.91,3.34,3.82
35,4,Eintracht Frankfurt,2,1,Karlsruher SC,2.07,3.23,3.32
36,5,Bayer Leverkusen,4,0,Hannover 96,1.68,3.44,4.65
37,5,Borussia Monchengladbach,0,1,Hertha Berlin,2.36,3.21,2.80
38,5,Energie Cottbus,1,1,VfL Bochum,2.34,3.21,2.84
39,5,Arminia Bielefeld,2,0,FC Koln,2.25,3.23,2.98
40,5,Bayern Munchen,2,5,Werder Bremen,1.71,3.46,4.66
41,5,Schalke 04,1,0,Eintracht Frankfurt,1.46,3.84,6.59
42,5,VfL Wolfsburg,3,0,Hamburger SV,2.40,3.22,2.73
43,5,VfB Stuttgart,3,1,Karlsruher SC,1.52,3.63,5.78
44,5,TSG Hoffenheim,4,1,Borussia Dortmund,2.43,3.21,2.63
45,6,FC Koln,1,0,Schalke 04,3.85,3.32,1.89
46,6,VfL Bochum,2,3,Bayer Leverkusen,3.05,3.28,2.18
47,6,Borussia Dortmund,3,0,VfB Stuttgart,2.05,3.25,3.29
48,6,Werder Bremen,5,4,TSG Hoffenheim,1.45,3.98,6.69
49,6,Hertha Berlin,0,1,Energie Cottbus,1.58,3.60,5.58
50,6,Hamburger SV,1,0,Borussia Monchengladbach,1.41,4.00,6.96
51,6,Hannover 96,1,0,Bayern Munchen,5.36,3.61,1.60
52,6,Eintracht Frankfurt,1,1,Arminia Bielefeld,1.91,3.28,3.78
53,6,Karlsruher SC,2,1,VfL Wolfsburg,2.96,3.22,2.27
54,7,Arminia Bielefeld,1,2,Karlsruher SC,2.15,3.20,3.12
55,7,VfB Stuttgart,4,1,Werder Bremen,2.43,3.25,2.65
56,7,Borussia Monchengladbach,1,2,FC Koln,2.17,3.17,3.01
57,7,TSG Hoffenheim,2,1,Eintracht Frankfurt,1.69,3.43,4.64
58,7,Bayer Leverkusen,0,1,Hertha Berlin,1.62,3.48,5.12
59,7,Bayern Munchen,3,3,VfL Bochum,1.24,5.19,10.33
60,7,Schalke 04,2,2,VfL Wolfsburg,1.77,3.39,4.29
61,7,Borussia Dortmund,1,1,Hannover 96,1.73,3.43,4.49
62,7,Energie Cottbus,1,2,Hamburger SV,3.56,3.27,1.97
63,8,VfL Bochum,2,2,Borussia Monchengladbach,1.93,3.30,3.66
64,8,VfL Wolfsburg,4,1,Arminia Bielefeld,1.45,3.93,6.78
65,8,Eintracht Frankfurt,0,2,Bayer Leverkusen,3.29,3.27,2.06
66,8,Karlsruher SC,0,1,Bayern Munchen,5.34,3.58,1.59
67,8,FC Koln,1,0,Energie Cottbus,1.85,3.29,4.02
68,8,Hannover 96,2,5,TSG Hoffenheim,2.31,3.26,2.81
69,8,Hertha Berlin,2,1,VfB Stuttgart,2.43,3.22,2.69
70,8,Werder Bremen,3,3,Borussia Dortmund,1.68,3.47,4.74
71,8,Hamburger SV,1,1,Schalke 04,2.23,3.19,3.01
72,9,Bayer Leverkusen,2,0,FC Koln,1.52,3.72,6.04
73,9,Hannover 96,1,1,Werder Bremen,3.21,3.32,2.08
74,9,Energie Cottbus,2,3,Eintracht Frankfurt,2.22,3.19,3.03
75,9,Borussia Monchengladbach,1,0,Karlsruher SC,2.11,3.23,3.20
76,9,Bayern Munchen,4,2,VfL Wolfsburg,1.57,3.67,5.46
77,9,Schalke 04,0,0,Arminia Bielefeld,1.30,4.71,9.24
78,9,VfB Stuttgart,2,0,VfL Bochum,1.43,3.98,6.86
79,9,TSG Hoffenheim,3,0,Hamburger SV,2.57,3.24,2.54
80,9,Borussia Dortmund,1,1,Hertha Berlin,1.89,3.29,3.83
81,10,Karlsruher SC,0,3,Schalke 04,3.85,3.26,1.90
82,10,Arminia Bielefeld,1,1,Energie Cottbus,1.94,3.27,3.64
83,10,VfL Wolfsburg,3,0,Borussia Monchengladbach,1.47,3.86,6.25
