,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Bayern Munchen,2,2,Hertha Berlin,1.21,6.29,12.29
1,1,VfL Wolfsburg,2,1,FC Koln,1.90,3.59,3.80
2,1,SC Freiburg,3,0,FSV Mainz 05,2.18,3.30,3.26
3,1,Bayer Leverkusen,3,2,SC Paderborn 07,1.41,4.60,7.13
4,1,Borussia Dortmund,5,1,Augsburg,1.32,5.05,9.45
5,1,Werder Bremen,1,3,Fortuna Dusseldorf,1.80,3.76,4.04
6,1,Borussia Monchengladbach,0,0,Schalke 04,2.12,3.42,3.30
7,1,Eintracht Frankfurt,1,0,TSG Hoffenheim,2.39,3.53,2.71
8,1,Union Berlin,0,4,RB Leipzig,4.11,3.65,1.82
9,2,FC Koln,1,3,Borussia Dortmund,4.86,4.06,1.64
10,2,Augsburg,1,1,Union Berlin,2.05,3.44,3.45
11,2,TSG Hoffenheim,3,2,Werder Bremen,2.01,3.64,3.37
12,2,Fortuna Dusseldorf,1,3,Bayer Leverkusen,3.76,3.71,1.88
13,2,FSV Mainz 05,1,3,Borussia Monchengladbach,3.09,3.44,2.19
14,2,SC Paderborn 07,1,3,SC Freiburg,2.60,3.33,2.61
15,2,Schalke 04,0,3,Bayern Munchen,6.98,4.78,1.40
16,2,RB Leipzig,2,1,Eintracht Frankfurt,1.71,3.83,4.58
17,2,Hertha Berlin,0,3,VfL Wolfsburg,2.35,3.43,2.86
18,3,Borussia Monchengladbach,1,3,RB Leipzig,2.98,3.57,2.23
19,3,Schalke 04,3,0,Hertha Berlin,1.96,3.47,3.76
20,3,SC Freiburg,1,2,FC Koln,2.45,3.43,2.72
21,3,Bayern Munchen,6,1,FSV Mainz 05,1.09,9.57,25.65
22,3,Bayer Leverkusen,0,0,TSG Hoffenheim,1.67,4.28,4.32
23,3,VfL Wolfsburg,1,1,SC Paderborn 07,1.47,4.57,5.88
24,3,Union Berlin,3,1,Borussia Dortmund,8.52,5.33,1.32
25,3,Werder Bremen,3,2,Augsburg,1.60,4.17,5.02
26,3,Eintracht Frankfurt,2,1,Fortuna Dusseldorf,1.64,4.04,4.77
27,4,Fortuna Dusseldorf,1,1,VfL Wolfsburg,3.01,3.53,2.22
28,4,FC Koln,0,1,Borussia Monchengladbach,2.64,3.43,2.53
29,4,FSV Mainz 05,2,1,Hertha Berlin,2.32,3.37,2.92
30,4,Borussia Dortmund,4,0,Bayer Leverkusen,1.71,4.04,4.24
31,4,Augsburg,2,1,Eintracht Frankfurt,3.18,3.56,2.12
32,4,Union Berlin,1,2,Werder Bremen,3.10,3.41,2.23
33,4,RB Leipzig,1,1,Bayern Munchen,3.67,3.91,1.85
34,4,TSG Hoffenheim,0,3,SC Freiburg,1.67,4.09,4.55
35,4,SC Paderborn 07,1,5,Schalke 04,3.21,3.64,2.07
36,5,Schalke 04,2,1,FSV Mainz 05,1.74,3.73,4.46
37,5,Hertha Berlin,2,1,SC Paderborn 07,1.69,3.91,4.54
