,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,VfL Wolfsburg,2,0,VfB Stuttgart,1.97,3.30,3.45
1,1,Werder Bremen,2,3,Eintracht Frankfurt,1.41,4.11,7.23
2,1,Hertha Berlin,1,0,Hannover 96,1.79,3.39,4.16
3,1,FSV Mainz 05,2,2,Bayer Leverkusen,3.25,3.29,2.05
4,1,Borussia Dortmund,1,0,FC Koln,1.68,3.47,4.75
5,1,Nurnberg,1,2,Schalke 04,3.19,3.25,2.12
6,1,TSG Hoffenheim,1,1,Bayern Munchen,3.79,3.37,1.85
7,1,VfL Bochum,3,3,Borussia Monchengladbach,2.17,3.24,3.09
8,1,SC Freiburg,1,1,Hamburger SV,3.30,3.26,2.07
9,2,Eintracht Frankfurt,1,1,Nurnberg,2.02,3.27,3.46
10,2,Bayer Leverkusen,1,0,TSG Hoffenheim,1.97,3.32,3.54
11,2,Hannover 96,1,1,FSV Mainz 05,1.83,3.35,4.08
12,2,Bayern Munchen,1,1,Werder Bremen,1.60,3.61,5.26
13,2,VfB Stuttgart,4,2,SC Freiburg,1.45,3.93,6.82
14,2,Hamburger SV,4,1,Borussia Dortmund,2.03,3.24,3.43
15,2,FC Koln,1,3,VfL Wolfsburg,3.89,3.35,1.88
16,2,Borussia Monchengladbach,2,1,Hertha Berlin,2.33,3.21,2.86
17,2,Schalke 04,3,0,VfL Bochum,1.43,3.95,7.21
18,3,TSG Hoffenheim,0,0,Schalke 04,2.43,3.24,2.73
19,3,SC Freiburg,0,5,Bayer Leverkusen,3.21,3.25,2.11
20,3,FSV Mainz 05,2,1,Bayern Munchen,6.58,3.95,1.46
21,3,Nurnberg,0,2,Hannover 96,2.06,3.24,3.35
22,3,FC Koln,0,0,Eintracht Frankfurt,2.16,3.24,3.12
23,3,Borussia Dortmund,1,1,VfB Stuttgart,2.18,3.25,3.08
24,3,VfL Bochum,1,0,Hertha Berlin,2.36,3.21,2.82
25,3,VfL Wolfsburg,2,4,Hamburger SV,1.84,3.40,4.05
26,3,Werder Bremen,3,0,Borussia Monchengladbach,1.42,4.18,7.18
27,4,Borussia Monchengladbach,2,0,FSV Mainz 05,1.98,3.25,3.50
28,4,VfB Stuttgart,0,0,Nurnberg,1.44,4.04,6.85
29,4,Schalke 04,0,1,SC Freiburg,1.34,4.44,8.39
30,4,Bayer Leverkusen,2,1,VfL Bochum,1.40,4.12,7.36
31,4,Hannover 96,0,1,TSG Hoffenheim,2.50,3.23,2.60
32,4,Eintracht Frankfurt,1,1,Borussia Dortmund,2.75,3.22,2.37
33,4,Bayern Munchen,3,0,VfL Wolfsburg,1.82,3.42,4.02
34,4,Hertha Berlin,2,3,Werder Bremen,2.99,3.29,2.21
35,4,Hamburger SV,3,1,FC Koln,1.36,4.37,8.10
36,5,Borussia Dortmund,1,5,Bayern Munchen,3.77,3.36,1.90
37,5,TSG Hoffenheim,3,0,VfL Bochum,1.54,3.71,5.87
38,5,VfL Wolfsburg,2,3,Bayer Leverkusen,2.00,3.33,3.46
39,5,SC Freiburg,0,2,Eintracht Frankfurt,2.19,3.26,3.03
40,5,FSV Mainz 05,2,1,Hertha Berlin,2.40,3.22,2.71
41,5,Nurnberg,1,0,Borussia Monchengladbach,2.11,3.28,3.24
42,5,Hamburger SV,3,1,VfB Stuttgart,1.82,3.41,4.07
43,5,Werder Bremen,0,0,Hannover 96,1.36,4.45,7.82
44,5,FC Koln,1,2,Schalke 04,3.23,3.25,2.10
45,6,Schalke 04,1,2,VfL Wolfsburg,2.13,3.27,3.13
46,6,VfL Bochum,2,3,FSV Mainz 05,2.08,3.27,3.23
47,6,Borussia Monchengladbach,2,4,TSG Hoffenheim,2.84,3.26,2.32
48,6,Hannover 96,1,1,Borussia Dortmund,2.69,3.22,2.45
49,6,Bayern Munchen,2,1,Nurnberg,1.19,6.05,12.57
50,6,VfB Stuttgart,0,2,FC Koln,1.51,3.77,6.24
51,6,Eintracht Frankfurt,1,1,Hamburger SV,3.63,3.33,1.93
52,6,Hertha Berlin,0,4,SC Freiburg,1.84,3.33,4.05
53,6,Bayer Leverkusen,0,0,Werder Bremen,2.25,3.33,2.91
54,7,Nurnberg,0,1,VfL Bochum,1.89,3.31,3.84
55,7,Borussia Dortmund,0,1,Schalke 04,2.40,3.19,2.73
56,7,Werder Bremen,3,0,FSV Mainz 05,1.36,4.43,7.62
57,7,FC Koln,0,1,Bayer Leverkusen,3.40,3.30,2.01
58,7,Eintracht Frankfurt,0,3,VfB Stuttgart,2.79,3.22,2.34
59,7,VfL Wolfsburg,4,2,Hannover 96,1.38,4.36,7.45
60,7,Hamburger SV,1,0,Bayern Munchen,2.79,3.24,2.33
61,7,SC Freiburg,3,0,Borussia Monchengladbach,2.04,3.25,3.37
62,7,TSG Hoffenheim,5,1,Hertha Berlin,1.50,3.79,6.54
63,8,Schalke 04,2,0,Eintracht Frankfurt,1.45,3.91,6.68
64,8,FSV Mainz 05,2,1,TSG Hoffenheim,3.78,3.36,1.87
65,8,Bayern Munchen,0,0,FC Koln,1.20,5.81,11.73
66,8,Bayer Leverkusen,4,0,Nurnberg,1.39,4.22,7.42
67,8,Hannover 96,5,2,SC Freiburg,2.02,3.27,3.35
68,8,VfL Bochum,1,1,VfL Wolfsburg,3.92,3.42,1.84
69,8,Borussia Monchengladbach,0,1,Borussia Dortmund,2.77,3.23,2.34
70,8,VfB Stuttgart,0,2,Werder Bremen,2.39,3.25,2.71
71,8,Hertha Berlin,1,3,Hamburger SV,4.37,3.47,1.74
72,9,VfB Stuttgart,1,2,Schalke 04,2.46,3.23,2.70
73,9,Werder Bremen,2,0,TSG Hoffenheim,1.81,3.46,4.08
74,9,FC Koln,1,0,FSV Mainz 05,2.09,3.26,3.32
75,9,Eintracht Frankfurt,2,1,Hannover 96,2.15,3.26,3.18
76,9,SC Freiburg,1,2,Bayern Munchen,5.79,3.68,1.56
77,9,Nurnberg,3,0,Hertha Berlin,2.12,3.26,3.25
78,9,Hamburger SV,0,0,Bayer Leverkusen,2.11,3.27,3.26
79,9,VfL Wolfsburg,2,1,Borussia Monchengladbach,1.33,4.72,8.55
80,9,Borussia Dortmund,2,0,VfL Bochum,1.55,3.65,5.95
81,10,Bayer Leverkusen,1,1,Borussia Dortmund,1.75,3.42,4.48
82,10,TSG Hoffenheim,3,0,Nurnberg,1.38,4.32,7.78
83,10,Hannover 96,1,0,VfB Stuttgart,2.69,3.24,2.45
84,10,Borussia Monchengladbach,0,0,FC Koln,2.24,3.23,2.99
85,10,FSV Mainz 05,3,0,SC Freiburg,2.06,3.26,3.37
86,10,Bayern Munchen,2,1,Eintracht Frankfurt,1.21,5.74,11.99
87,10,Hertha Berlin,0,0,VfL Wolfsburg,4.59,3.59,1.69
88,10,Schalke 04,3,3,Hamburger SV,2.19,3.23,3.12
89,10,VfL Bochum,1,4,Werder Bremen,4.76,3.55,1.68
90,11,Borussia Dortmund,2,0,Hertha Berlin,1.47,3.88,6.33
91,11,FC Koln,0,1,Hannover 96,2.08,3.26,3.25
92,11,Nurnberg,2,2,Werder Bremen,4.95,3.59,1.62
93,11,VfL Wolfsburg,3,3,FSV Mainz 05,1.39,4.21,7.06
94,11,VfB Stuttgart,0,0,Bayern Munchen,3.91,3.38,1.83
95,11,Hamburger SV,2,3,Borussia Monchengladbach,1.34,4.42,8.12
96,11,Schalke 04,2,2,Bayer Leverkusen,2.24,3.24,2.96
97,11,SC Freiburg,0,1,TSG Hoffenheim,3.63,3.33,1.93
98,11,Eintracht Frankfurt,2,1,VfL Bochum,1.87,3.35,3.99
0,12,Bayer Leverkusen,4,0,Eintracht Frankfurt,1.39,4.26,7.35
1,12,VfL Bochum,1,2,SC Freiburg,2.20,3.24,3.03
2,12,Borussia Monchengladbach,0,0,VfB Stuttgart,2.64,3.20,2.45
3,12,FSV Mainz 05,1,0,Nurnberg,2.00,3.22,3.48
4,12,TSG Hoffenheim,1,2,VfL Wolfsburg,2.25,3.27,2.89
5,12,Bayern Munchen,1,1,Schalke 04,1.69,3.47,4.61
6,12,Hannover 96,2,2,Hamburger SV,3.30,3.25,2.07
7,12,Hertha Berlin,0,1,FC Koln,2.09,3.22,3.29
8,12,Werder Bremen,1,1,Borussia Dortmund,1.63,3.59,5.03
9,13,Schalke 04,2,0,Hannover 96,1.46,3.96,6.61
10,13,FC Koln,0,4,TSG Hoffenheim,3.36,3.27,2.06
11,13,Eintracht Frankfurt,1,2,Borussia Monchengladbach,2.12,3.26,3.26
12,13,SC Freiburg,0,6,Werder Bremen,4.36,3.46,1.76
13,13,VfL Wolfsburg,2,3,Nurnberg,1.38,4.33,7.40
14,13,VfB Stuttgart,1,1,Hertha Berlin,1.63,3.54,5.20
15,13,Borussia Dortmund,0,0,FSV Mainz 05,1.64,3.53,5.04
16,13,Bayern Munchen,1,1,Bayer Leverkusen,1.84,3.34,4.00
17,13,Hamburger SV,0,1,VfL Bochum,1.34,4.55,8.34
18,14,VfL Bochum,0,0,FC Koln,2.23,3.21,2.99
19,14,FSV Mainz 05,1,1,Hamburger SV,2.87,3.21,2.31
20,14,Nurnberg,0,1,SC Freiburg,2.02,3.24,3.40
21,14,Werder Bremen,2,2,VfL Wolfsburg,1.80,3.43,4.08
22,14,Hertha Berlin,1,3,Eintracht Frankfurt,2.04,3.23,3.41
23,14,TSG Hoffenheim,1,2,Borussia Dortmund,1.84,3.33,4.02
24,14,Borussia Monchengladbach,1,0,Schalke 04,3.32,3.21,2.08
25,14,Bayer Leverkusen,4,0,VfB Stuttgart,1.69,3.48,4.58
26,14,Hannover 96,0,3,Bayern Munchen,4.57,3.47,1.71
27,15,Bayern Munchen,2,1,Borussia Monchengladbach,1.27,4.95,10.03
28,15,VfB Stuttgart,1,1,VfL Bochum,1.55,3.64,5.74
29,15,Hamburger SV,0,0,TSG Hoffenheim,2.20,3.23,3.02
30,15,Borussia Dortmund,4,0,Nurnberg,1.67,3.46,4.81
31,15,VfL Wolfsburg,2,2,SC Freiburg,1.46,3.99,6.43
32,15,Hannover 96,0,0,Bayer Leverkusen,4.08,3.35,1.82
33,15,Eintracht Frankfurt,2,0,FSV Mainz 05,2.15,3.22,3.14
34,15,FC Koln,0,0,Werder Bremen,4.98,3.58,1.63
35,15,Schalke 04,2,0,Hertha Berlin,1.39,4.22,7.30
0,16,Hertha Berlin,2,2,Bayer Leverkusen,4.63,3.46,1.71
1,16,VfL Bochum,1,5,Bayern Munchen,6.87,3.92,1.45
2,16,Borussia Monchengladbach,5,3,Hannover 96,2.05,3.24,3.40
3,16,SC Freiburg,0,0,FC Koln,2.14,3.19,3.21
4,16,TSG Hoffenheim,1,1,Eintracht Frankfurt,1.52,3.74,6.05
5,16,Nurnberg,0,4,Hamburger SV,3.24,3.19,2.13
6,16,Werder Bremen,0,2,Schalke 04,1.84,3.34,4.03
7,16,FSV Mainz 05,1,1,VfB Stuttgart,2.47,3.16,2.68
8,16,VfL Wolfsburg,1,3,Borussia Dortmund,1.87,3.35,3.89
9,17,Schalke 04,1,0,FSV Mainz 05,1.44,3.90,7.08
10,17,Borussia Dortmund,1,0,SC Freiburg,1.47,3.85,6.45
11,17,Bayern Munchen,5,2,Hertha Berlin,1.19,5.88,12.46
12,17,Eintracht Frankfurt,2,2,VfL Wolfsburg,3.10,3.22,2.16
13,17,Bayer Leverkusen,3,2,Borussia Monchengladbach,1.39,4.16,7.36
14,17,Hannover 96,2,3,VfL Bochum,1.85,3.26,3.99
15,17,VfB Stuttgart,3,1,TSG Hoffenheim,2.23,3.21,2.98
16,17,Hamburger SV,2,1,Werder Bremen,2.44,3.18,2.69
17,17,FC Koln,3,0,Nurnberg,2.05,3.22,3.42
18,18,Bayern Munchen,2,0,TSG Hoffenheim,1.46,3.91,6.69
19,18,Hamburger SV,2,0,SC Freiburg,1.35,4.33,8.38
20,18,Eintracht Frankfurt,1,0,Werder Bremen,3.67,3.28,1.93
21,18,Hannover 96,0,3,Hertha Berlin,2.16,3.23,3.14
22,18,Bayer Leverkusen,4,2,FSV Mainz 05,1.42,4.02,7.33
23,18,Borussia Monchengladbach,1,2,VfL Bochum,1.81,3.34,4.17
24,18,VfB Stuttgart,3,1,VfL Wolfsburg,2.21,3.23,3.05
25,18,Schalke 04,1,0,Nurnberg,1.35,4.37,8.56
26,18,FC Koln,2,3,Borussia Dortmund,3.11,3.19,2.19
27,19,SC Freiburg,0,1,VfB Stuttgart,3.24,3.22,2.12
28,19,VfL Bochum,2,2,Schalke 04,3.95,3.31,1.86
29,19,Werder Bremen,2,3,Bayern Munchen,3.00,3.25,2.22
30,19,Nurnberg,1,1,Eintracht Frankfurt,2.20,3.22,3.06
31,19,Hertha Berlin,0,0,Borussia Monchengladbach,1.94,3.31,3.67
32,19,FSV Mainz 05,1,0,Hannover 96,1.97,3.27,3.59
33,19,Borussia Dortmund,1,0,Hamburger SV,2.40,3.20,2.76
34,19,VfL Wolfsburg,2,3,FC Koln,1.52,3.79,6.07
35,19,TSG Hoffenheim,0,3,Bayer Leverkusen,2.63,3.20,2.52
36,20,Hamburger SV,1,1,VfL Wolfsburg,1.83,3.42,4.02
37,20,Borussia Monchengladbach,4,3,Werder Bremen,3.51,3.37,1.96
38,20,Eintracht Frankfurt,1,2,FC Koln,2.01,3.24,3.51
39,20,Hertha Berlin,0,0,VfL Bochum,1.85,3.33,3.98
40,20,Bayern Munchen,3,0,FSV Mainz 05,1.18,6.09,12.63
41,20,Hannover 96,1,3,Nurnberg,2.10,3.24,3.26
42,20,Schalke 04,2,0,TSG Hoffenheim,1.69,3.44,4.65
43,20,VfB Stuttgart,4,1,Borussia Dortmund,2.11,3.22,3.22
44,20,Bayer Leverkusen,3,1,SC Freiburg,1.26,5.10,9.95
45,21,Werder Bremen,2,1,Hertha Berlin,1.46,3.93,6.58
46,21,VfL Wolfsburg,1,3,Bayern Munchen,4.38,3.42,1.74
47,21,FC Koln,3,3,Hamburger SV,3.35,3.20,2.04
48,21,SC Freiburg,0,0,Schalke 04,4.28,3.34,1.77
49,21,VfL Bochum,1,1,Bayer Leverkusen,5.09,3.54,1.61
50,21,TSG Hoffenheim,2,1,Hannover 96,1.56,3.57,5.59
51,21,Nurnberg,1,2,VfB Stuttgart,3.42,3.22,2.02
52,21,FSV Mainz 05,1,0,Borussia Monchengladbach,2.09,3.20,3.25
53,21,Borussia Dortmund,2,3,Eintracht Frankfurt,1.57,3.57,5.55
54,22,Borussia Monchengladbach,2,1,Nurnberg,1.99,3.25,3.59
55,22,VfL Bochum,2,1,TSG Hoffenheim,2.70,3.19,2.43
56,22,Hannover 96,1,5,Werder Bremen,3.89,3.34,1.86
57,22,Hertha Berlin,1,1,FSV Mainz 05,2.00,3.22,3.53
58,22,Bayer Leverkusen,2,1,VfL Wolfsburg,1.64,3.62,4.87
59,22,VfB Stuttgart,1,3,Hamburger SV,2.23,3.20,3.00
60,22,Bayern Munchen,3,1,Borussia Dortmund,1.37,4.35,7.64
61,22,Schalke 04,2,0,FC Koln,1.49,3.71,6.43
62,22,Eintracht Frankfurt,2,1,SC Freiburg,1.81,3.33,4.14
63,23,TSG Hoffenheim,2,2,Borussia Monchengladbach,1.72,3.41,4.59
64,23,Borussia Dortmund,4,1,Hannover 96,1.45,3.97,6.78
65,23,Hamburger SV,0,0,Eintracht Frankfurt,1.47,3.85,6.68
66,23,FSV Mainz 05,0,0,VfL Bochum,1.98,3.23,3.61
67,23,Nurnberg,1,1,Bayern Munchen,7.69,4.28,1.38
68,23,FC Koln,1,5,VfB Stuttgart,3.15,3.19,2.17
69,23,SC Freiburg,0,3,Hertha Berlin,2.46,3.15,2.69
70,23,VfL Wolfsburg,2,1,Schalke 04,2.57,3.16,2.58
71,23,Werder Bremen,2,2,Bayer Leverkusen,2.15,3.23,3.16
72,24,Schalke 04,2,1,Borussia Dortmund,1.89,3.26,4.02
73,24,VfB Stuttgart,2,1,Eintracht Frankfurt,1.60,3.68,5.27
74,24,Borussia Monchengladbach,1,1,SC Freiburg,1.83,3.35,4.12
75,24,VfL Bochum,0,0,Nurnberg,2.09,3.25,3.35
76,24,Hertha Berlin,0,2,TSG Hoffenheim,2.48,3.17,2.66
77,24,FSV Mainz 05,1,2,Werder Bremen,3.52,3.32,1.96
78,24,Bayer Leverkusen,0,0,FC Koln,1.37,4.34,7.83
79,24,Hannover 96,0,1,VfL Wolfsburg,3.63,3.36,1.95
80,24,Bayern Munchen,1,0,Hamburger SV,1.50,3.87,6.11
81,25,SC Freiburg,1,2,Hannover 96,2.11,3.26,3.28
82,25,VfL Wolfsburg,4,1,VfL Bochum,1.49,3.93,6.32
83,25,FC Koln,1,1,Bayern Munchen,7.50,4.10,1.41
84,25,Werder Bremen,2,2,VfB Stuttgart,1.99,3.39,3.51
85,25,Hamburger SV,1,0,Hertha Berlin,1.47,3.94,6.89
86,25,Eintracht Frankfurt,1,4,Schalke 04,3.24,3.21,2.17
87,25,Borussia Dortmund,3,0,Borussia Monchengladbach,1.61,3.56,5.36
88,25,Nurnberg,3,2,Bayer Leverkusen,4.87,3.46,1.69
89,25,TSG Hoffenheim,0,1,FSV Mainz 05,1.74,3.47,4.52
90,26,Schalke 04,2,1,VfB Stuttgart,2.01,3.26,3.55
91,26,Hertha Berlin,1,2,Nurnberg,2.04,3.23,3.45
92,26,FSV Mainz 05,1,0,FC Koln,2.13,3.19,3.19
93,26,Hannover 96,2,1,Eintracht Frankfurt,2.51,3.18,2.63
94,26,VfL Bochum,1,4,Borussia Dortmund,3.16,3.21,2.16
95,26,Borussia Monchengladbach,0,4,VfL Wolfsburg,3.01,3.27,2.22
96,26,Bayern Munchen,2,1,SC Freiburg,1.15,6.56,16.36
97,26,TSG Hoffenheim,0,1,Werder Bremen,2.65,3.23,2.47
98,26,Bayer Leverkusen,4,2,Hamburger SV,2.04,3.25,3.44
99,27,FC Koln,1,1,Borussia Monchengladbach,2.17,3.19,3.18
100,27,VfB Stuttgart,2,0,Hannover 96,1.41,4.11,7.32
101,27,Werder Bremen,3,2,VfL Bochum,1.34,4.54,8.25
102,27,Eintracht Frankfurt,2,1,Bayern Munchen,6.43,3.87,1.48
103,27,Nurnberg,0,0,TSG Hoffenheim,2.40,3.14,2.76
104,27,SC Freiburg,1,0,FSV Mainz 05,2.39,3.14,2.79
105,27,Borussia Dortmund,3,0,Bayer Leverkusen,2.37,3.15,2.80
106,27,Hamburger SV,2,2,Schalke 04,2.30,3.16,2.90
107,27,VfL Wolfsburg,1,5,Hertha Berlin,1.47,3.93,6.46
108,28,VfL Bochum,1,2,Eintracht Frankfurt,2.32,3.19,2.92
109,28,Hannover 96,1,4,FC Koln,2.23,3.20,3.07
110,28,Hertha Berlin,0,0,Borussia Dortmund,3.39,3.26,2.06
111,28,FSV Mainz 05,0,2,VfL Wolfsburg,2.73,3.21,2.44
112,28,Bayern Munchen,1,2,VfB Stuttgart,1.52,3.78,6.22
113,28,Werder Bremen,4,2,Nurnberg,1.35,4.41,8.31
114,28,Bayer Leverkusen,0,2,Schalke 04,2.17,3.21,3.16
115,28,TSG Hoffenheim,1,1,SC Freiburg,1.58,3.66,5.56
116,28,Borussia Monchengladbach,1,0,Hamburger SV,3.04,3.22,2.23
