,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,1,Borussia Dortmund,3,1,Hamburger SV,1.64,3.63,4.80
1,1,Werder Bremen,2,0,Kaiserslautern,1.74,3.54,4.27
2,1,VfB Stuttgart,3,0,Schalke 04,2.25,3.23,2.92
3,1,Hannover 96,2,1,TSG Hoffenheim,2.17,3.26,3.09
4,1,FC Koln,0,3,VfL Wolfsburg,2.73,3.22,2.41
5,1,Augsburg,2,2,SC Freiburg,2.33,3.19,2.83
6,1,Hertha Berlin,0,1,Nurnberg,2.11,3.22,3.16
7,1,FSV Mainz 05,2,0,Bayer Leverkusen,3.38,3.29,2.02
8,1,Bayern Munchen,0,1,Borussia Monchengladbach,1.21,5.70,11.17
9,2,TSG Hoffenheim,1,0,Borussia Dortmund,4.51,3.55,1.71
10,2,VfL Wolfsburg,0,1,Bayern Munchen,3.83,3.47,1.85
11,2,SC Freiburg,1,2,FSV Mainz 05,2.26,3.25,2.96
12,2,Schalke 04,5,1,FC Koln,1.59,3.65,5.34
13,2,Hamburger SV,2,2,Hertha Berlin,1.93,3.38,3.66
14,2,Nurnberg,1,2,Hannover 96,2.33,3.25,2.84
15,2,Borussia Monchengladbach,1,1,VfB Stuttgart,2.58,3.30,2.53
16,2,Kaiserslautern,1,1,Augsburg,1.85,3.36,3.98
17,2,Bayer Leverkusen,1,0,Werder Bremen,1.84,3.44,3.89
18,3,Borussia Monchengladbach,4,1,VfL Wolfsburg,2.51,3.25,2.63
19,3,Borussia Dortmund,2,0,Nurnberg,1.27,5.07,9.97
20,3,Augsburg,0,2,TSG Hoffenheim,2.63,3.23,2.51
21,3,VfB Stuttgart,0,1,Bayer Leverkusen,2.37,3.27,2.80
22,3,Bayern Munchen,5,0,Hamburger SV,1.33,4.64,8.62
23,3,Werder Bremen,5,3,SC Freiburg,1.60,3.71,5.19
24,3,FC Koln,1,1,Kaiserslautern,2.22,3.26,3.03
25,3,FSV Mainz 05,2,4,Schalke 04,2.53,3.23,2.63
26,3,Hannover 96,1,1,Hertha Berlin,2.02,3.31,3.45
27,4,Hertha Berlin,1,0,VfB Stuttgart,2.60,3.26,2.53
28,4,Nurnberg,1,0,Augsburg,1.80,3.36,4.18
29,4,SC Freiburg,3,0,VfL Wolfsburg,2.82,3.25,2.31
30,4,Kaiserslautern,0,3,Bayern Munchen,5.66,3.85,1.53
31,4,TSG Hoffenheim,1,2,Werder Bremen,2.27,3.26,2.87
32,4,Hamburger SV,3,4,FC Koln,1.86,3.39,3.87
33,4,Bayer Leverkusen,0,0,Borussia Dortmund,2.64,3.22,2.48
34,4,Hannover 96,1,1,FSV Mainz 05,2.11,3.27,3.19
35,4,Schalke 04,1,0,Borussia Monchengladbach,1.73,3.53,4.46
36,5,Augsburg,1,4,Bayer Leverkusen,4.30,3.48,1.77
37,5,FSV Mainz 05,0,4,TSG Hoffenheim,2.18,3.24,3.16
38,5,Borussia Dortmund,1,2,Hertha Berlin,1.38,4.36,7.81
39,5,VfB Stuttgart,3,0,Hannover 96,1.83,3.42,4.03
40,5,Borussia Monchengladbach,1,0,Kaiserslautern,1.95,3.39,3.61
41,5,Bayern Munchen,7,0,SC Freiburg,1.17,6.56,14.37
42,5,Werder Bremen,2,0,Hamburger SV,1.60,3.80,5.06
43,5,FC Koln,1,2,Nurnberg,2.47,3.25,2.68
44,5,VfL Wolfsburg,2,1,Schalke 04,2.49,3.26,2.65
45,6,SC Freiburg,1,2,VfB Stuttgart,2.97,3.28,2.23
46,6,TSG Hoffenheim,3,1,VfL Wolfsburg,2.02,3.34,3.36
47,6,Hamburger SV,0,1,Borussia Monchengladbach,2.36,3.28,2.74
48,6,Bayer Leverkusen,1,4,FC Koln,1.43,4.23,6.50
49,6,Nurnberg,1,1,Werder Bremen,2.59,3.26,2.49
50,6,Hertha Berlin,2,2,Augsburg,1.61,3.66,5.19
51,6,Kaiserslautern,3,1,FSV Mainz 05,2.38,3.25,2.71
52,6,Hannover 96,2,1,Borussia Dortmund,4.04,3.38,1.83
53,6,Schalke 04,0,2,Bayern Munchen,4.73,3.69,1.66
54,7,VfB Stuttgart,1,2,Hamburger SV,1.57,3.71,5.32
55,7,VfL Wolfsburg,1,0,Kaiserslautern,1.71,3.54,4.57
56,7,Borussia Monchengladbach,1,0,Nurnberg,2.03,3.28,3.38
57,7,FSV Mainz 05,1,2,Borussia Dortmund,3.76,3.35,1.88
58,7,Schalke 04,4,2,SC Freiburg,1.36,4.46,7.65
59,7,Augsburg,0,0,Hannover 96,3.03,3.28,2.19
60,7,Bayern Munchen,3,0,Bayer Leverkusen,1.32,4.71,8.36
61,7,FC Koln,2,0,TSG Hoffenheim,2.78,3.25,2.34
62,7,Werder Bremen,2,1,Hertha Berlin,1.80,3.47,3.96
63,8,Kaiserslautern,0,2,VfB Stuttgart,2.96,3.29,2.23
64,8,Nurnberg,3,3,FSV Mainz 05,2.10,3.25,3.29
65,8,SC Freiburg,1,0,Borussia Monchengladbach,2.76,3.26,2.38
66,8,TSG Hoffenheim,0,0,Bayern Munchen,5.48,3.84,1.55
67,8,Borussia Dortmund,4,0,Augsburg,1.24,5.41,10.57
68,8,Bayer Leverkusen,3,1,VfL Wolfsburg,1.65,3.64,4.83
69,8,Hertha Berlin,3,0,FC Koln,1.81,3.48,4.04
70,8,Hannover 96,3,2,Werder Bremen,2.56,3.28,2.53
71,8,Hamburger SV,1,2,Schalke 04,2.70,3.28,2.41
72,9,Werder Bremen,0,2,Borussia Dortmund,2.80,3.27,2.34
73,9,FSV Mainz 05,0,1,Augsburg,1.66,3.58,4.84
74,9,Bayern Munchen,4,0,Hertha Berlin,1.19,6.09,12.58
75,9,VfL Wolfsburg,2,1,Nurnberg,2.01,3.34,3.46
76,9,Borussia Monchengladbach,2,2,Bayer Leverkusen,2.65,3.22,2.51
77,9,VfB Stuttgart,2,0,TSG Hoffenheim,1.97,3.38,3.50
78,9,Schalke 04,1,2,Kaiserslautern,1.47,3.99,6.43
79,9,SC Freiburg,1,2,Hamburger SV,2.54,3.27,2.56
80,9,FC Koln,2,0,Hannover 96,2.39,3.28,2.75
81,10,Augsburg,1,1,Werder Bremen,3.45,3.36,2.00
82,10,Borussia Dortmund,5,0,FC Koln,1.28,4.94,9.22
83,10,Nurnberg,2,2,VfB Stuttgart,2.54,3.25,2.57
84,10,Hertha Berlin,0,0,FSV Mainz 05,1.91,3.34,3.66
85,10,Kaiserslautern,1,0,SC Freiburg,2.00,3.32,3.43
86,10,TSG Hoffenheim,1,0,Borussia Monchengladbach,1.96,3.34,3.52
87,10,Hamburger SV,1,1,VfL Wolfsburg,2.30,3.29,2.84
88,10,Bayer Leverkusen,0,1,Schalke 04,2.03,3.31,3.34
89,10,Hannover 96,2,1,Bayern Munchen,7.18,4.17,1.41
90,11,SC Freiburg,0,1,Bayer Leverkusen,3.38,3.32,2.03
91,11,Bayern Munchen,4,0,Nurnberg,1.17,6.41,14.31
92,11,Borussia Monchengladbach,2,1,Hannover 96,2.02,3.28,3.47
93,11,VfL Wolfsburg,2,3,Hertha Berlin,2.09,3.28,3.26
94,11,Schalke 04,3,1,TSG Hoffenheim,1.88,3.35,3.82
95,11,VfB Stuttgart,1,1,Borussia Dortmund,2.95,3.26,2.27
96,11,FSV Mainz 05,1,3,Werder Bremen,2.63,3.24,2.45
97,11,FC Koln,3,0,Augsburg,1.86,3.39,3.81
98,11,Hamburger SV,1,1,Kaiserslautern,1.91,3.34,3.66
99,12,FSV Mainz 05,3,1,VfB Stuttgart,2.59,3.25,2.51
100,12,Werder Bremen,3,2,FC Koln,1.49,3.99,6.15
101,12,Nurnberg,1,2,SC Freiburg,1.77,3.48,4.32
102,12,TSG Hoffenheim,1,1,Kaiserslautern,1.69,3.50,4.70
103,12,Borussia Dortmund,5,1,VfL Wolfsburg,1.34,4.55,8.44
104,12,Hertha Berlin,1,2,Borussia Monchengladbach,2.12,3.27,3.22
105,12,Bayer Leverkusen,2,2,Hamburger SV,1.59,3.69,5.21
106,12,Hannover 96,2,2,Schalke 04,2.66,3.26,2.48
107,12,Augsburg,1,2,Bayern Munchen,12.58,5.79,1.20
108,13,Kaiserslautern,0,2,Bayer Leverkusen,2.99,3.26,2.25
109,13,SC Freiburg,2,2,Hertha Berlin,2.59,3.26,2.54
110,13,Schalke 04,4,0,Nurnberg,1.62,3.68,5.09
